Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avengers: Infinity War,$2048359754,$678815482,33.1%,$1369544272,66.9%
2,Black Panther,$1346913161,$700059566,52%,$646853595,48%
3,Jurassic World: Fallen Kingdom,$1308467944,$417719760,31.9%,$890748184,68.1%
4,Incredibles 2,$1242805359,$608581744,49%,$634223615,51%
5,Aquaman,$1148461807,$335061807,29.2%,$813400000,70.8%
6,Bohemian Rhapsody,$903655259,$216428042,24%,$687227217,76%
7,Venom,$856085151,$213515506,24.9%,$642569645,75.1%
8,Mission: Impossible - Fallout,$791115104,$220159104,27.8%,$570956000,72.2%
9,Deadpool 2,$734546611,$318491426,43.4%,$416055185,56.6%
10,Fantastic Beasts: The Crimes of Grindelwald,$654855901,$159555901,24.4%,$495300000,75.6%
11,Ant-Man and the Wasp,$622674139,$216648740,34.8%,$406025399,65.2%
12,Ready Player One,$582890172,$137690172,23.6%,$445200000,76.4%
13,Operation Red Sea,$579330426,$1543547,0.3%,$577786879,99.7%
14,Detective Chinatown 2,$544185156,$1983984,0.4%,$542201172,99.6%
15,The Meg,$530243742,$145443742,27.4%,$384800000,72.6%
16,Ralph Breaks the Internet,$529323962,$201091711,38%,$328232251,62%
17,Hotel Transylvania 3: Summer Vacation,$528583774,$167510016,31.7%,$361073758,68.3%
18,The Grinch,$511595957,$270620950,52.9%,$240975007,47.1%
19,Bumblebee,$467989645,$127195589,27.2%,$340794056,72.8%
20,Dying to Survive,$451176639,-,-,$451176639,100%
21,A Star Is Born,$436188866,$215288866,49.4%,$220900000,50.6%
22,Rampage,$428028233,$101028233,23.6%,$327000000,76.4%
23,Mamma Mia! Here We Go Again,$395044706,$120634935,30.5%,$274409771,69.5%
24,Solo: A Star Wars Story,$392924807,$213767512,54.4%,$179157295,45.6%
25,Spider-Man: Into the Spider-Verse,$375540831,$190241310,50.7%,$185299521,49.3%
26,Fifty Shades Freed,$371985018,$100407760,27%,$271577258,73%
27,Hello Mr. Billionaire,$366961907,-,-,$366961907,100%
28,The Nun,$365550119,$117450119,32.1%,$248100000,67.9%
29,Monster Hunt 2,$361682618,$706153,0.2%,$360976465,99.8%
30,Peter Rabbit,$351266433,$115253424,32.8%,$236013009,67.2%
31,Mary Poppins Returns,$349537494,$171958438,49.2%,$177579056,50.8%
32,A Quiet Place,$340939361,$188024361,55.1%,$152915000,44.9%
33,Green Book,$321752656,$85080171,26.4%,$236672485,73.6%
34,Skyscraper,$304868961,$68420120,22.4%,$236448841,77.6%
35,Ocean's Eight,$297718711,$140218711,47.1%,$157500000,52.9%
36,Pacific Rim: Uprising,$290930148,$59874525,20.6%,$231055623,79.4%
37,Maze Runner: The Death Cure,$288175335,$58032443,20.1%,$230142892,79.9%
38,Tomb Raider,$274650803,$58250803,21.2%,$216400000,78.8%
39,Halloween,$255485178,$159342015,62.4%,$96143163,37.6%
40,Crazy Rich Asians,$238532921,$174532921,73.2%,$64000000,26.8%
41,Creed II,$214215889,$115715889,54%,$98500000,46%
42,Smallfoot,$214040103,$83240103,38.9%,$130800000,61.1%
43,Us and Them,$209221380,-,-,$209221380,100%
44,The Island,$198326350,$670883,0.3%,$197655467,99.7%
45,Christopher Robin,$197744377,$99215042,50.2%,$98529335,49.8%
46,The Equalizer 2,$190400157,$102084362,53.6%,$88315795,46.4%
47,Project Gutenberg,$188116796,-,-,$188116796,100%
48,The Mule,$174804407,$103804407,59.4%,$71000000,40.6%
49,The Nutcracker and the Four Realms,$173961069,$54858851,31.5%,$119102218,68.5%
50,Insidious: The Last Key,$167885588,$67745330,40.4%,$100140258,59.6%
51,The Predator,$160542134,$51024708,31.8%,$109517426,68.2%
52,Johnny English Strikes Again,$158970776,$4412170,2.8%,$154558606,97.2%
53,Red Sparrow,$151572634,$46874505,30.9%,$104698129,69.1%
54,More Than Blue,$142958164,$722669,0.5%,$142235495,99.5%
55,The First Purge,$137056262,$69488745,50.7%,$67567517,49.3%
56,How Long Will I Love U,$136796719,$746933,0.5%,$136049786,99.5%
57,A Wrinkle in Time,$132675864,$100478608,75.7%,$32197256,24.3%
58,The House with a Clock in Its Walls,$131457147,$68549695,52.1%,$62907452,47.9%
59,Instant Family,$120556201,$67363237,55.9%,$53192964,44.1%
60,A Cool Fish,$118153135,$551876,0.5%,$117601259,99.5%
61,Game Night,$117679066,$69179066,58.8%,$48500000,41.2%
62,Dragon Ball Super: Broly,$115757940,$30712119,26.5%,$85045821,73.5%
63,The Monkey King 3,$115084576,$187074,0.2%,$114897502,99.8%
64,First Man,$105697415,$44936545,42.5%,$60760870,57.5%
65,Book Club,$104438188,$68566296,65.7%,$35871892,34.3%
66,Night School,$103105878,$77339130,75%,$25766748,25%
67,Detective Conan: Zero the Enforcer,$101860359,-,-,$101860359,100%
68,Alpha,$98203196,$35857181,36.5%,$62346015,63.5%
69,Along With the Gods: The Last 49 Days,$97962238,$1200246,1.2%,$96761992,98.8%
70,A Simple Favor,$97644617,$53548586,54.8%,$44096031,45.2%
71,Boonie Bears 5,$96820519,-,-,$96820519,100%
72,The Favourite,$95918706,$34366783,35.8%,$61551923,64.2%
73,Truth or Dare,$95330493,$41411015,43.4%,$53919478,56.6%
74,Kill Mobile,$94870905,-,-,$94870905,100%
75,I Feel Pretty,$94539426,$48795601,51.6%,$45743825,48.4%
76,Blockers,$94017294,$60311495,64.1%,$33705799,35.9%
77,BlacKkKlansman,$93400823,$49275340,52.8%,$44125483,47.2%
78,Goosebumps 2: Haunted Halloween,$93320380,$46700633,50%,$46619747,50%
79,Shadow,$91708374,$521396,0.6%,$91186978,99.4%
80,Overboard,$91244913,$50316123,55.1%,$40928790,44.9%
81,Sherlock Gnomes,$90497778,$43242871,47.8%,$47254907,52.2%
82,Detective Dee: The Four Heavenly Kings,$90040771,$262963,0.3%,$89777808,99.7%
83,Hello Mrs. Money,$86874070,-,-,$86874070,100%
