Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,$461406887,$372755,<0.1%,$461034132,99.9%
2,Demon Slayer: Mugen Train,$455495361,$47700000,10.5%,$407795361,89.5%
3,Bad Boys for Life,$426505244,$206305244,48.4%,$220200000,51.6%
4,My People My Homeland,$422390820,-,-,$422390820,100%
5,Tenet,$363656624,$58456624,16.1%,$305200000,83.9%
6,Sonic the Hedgehog,$319715683,$148974665,46.6%,$170741018,53.4%
7,Dolittle,$245487753,$77047065,31.4%,$168440688,68.6%
8,Legend of Deification,$240663149,$214670,<0.1%,$240448479,99.9%
9,A Little Red Flower,$216000000,-,-,$216000000,100%
10,Birds of Prey,$201858461,$84158461,41.7%,$117700000,58.3%
11,Shock Wave 2,$198914468,-,-,$198914468,100%
12,The Croods: A New Age,$174489000,$58569000,33.6%,$115920000,66.4%
13,Wonder Woman 1984,$166534027,$46534027,27.9%,$120000000,72.1%
14,The Sacrifice,$161047608,-,-,$161047608,100%
15,The Invisible Man,$143151000,$70410000,49.2%,$72741000,50.8%
16,Onward,$141950121,$61555145,43.4%,$80394976,56.6%
17,Warm Hug,$129240236,-,-,$129240236,100%
18,Soul,$119198268,-,-,$119198268,100%
19,The Call of the Wild,$111105497,$62342368,56.1%,$48763129,43.9%
20,Caught in Time,$80543319,-,-,$80543319,100%
21,The Yin-Yang Master: Dream of Eternity,$68000000,-,-,$68000000,100%
22,Mulan,$66800000,-,-,$66800000,100%
23,Stand by Me Doraemon 2,$65066630,-,-,$65066630,100%
24,The Rescue,$63426575,$18797,<0.1%,$63407778,100%
25,Love You Forever,$60670799,-,-,$60670799,100%
26,Greenland,$52300000,-,-,$52300000,100%
27,Tolo Tolo,$52186426,-,-,$52186426,100%
28,Vanguard,$50814965,$793525,1.6%,$50021440,98.4%
29,Fantasy Island,$48811343,$27309289,55.9%,$21502054,44.1%
30,After We Collided,$47990414,$2386483,5%,$45603931,95%
31,From Today It's My Turn: The Movie,$47866854,-,-,$47866854,100%
32,The New Mutants,$46996076,$23852659,50.8%,$23143417,49.2%
33,Trolls World Tour,$46885895,-,-,$46885895,100%
34,Tanhaji: The Unsung Warrior,$45221814,-,-,$45221814,100%
35,Unhinged,$44331465,$20831465,47%,$23500000,53%
36,The End of Endless Love,$43950000,-,-,$43950000,100%
37,Train to Busan Presents: Peninsula,$42698327,$1231407,2.9%,$41466920,97.1%
38,Monster Hunter,$41955901,$15162470,36.1%,$26793431,63.9%
39,Underwater,$40882928,$17291078,42.3%,$23591850,57.7%
40,The War with Grandpa,$40746845,$21277892,52.2%,$19468953,47.8%
41,Sarileru Neekevvaru,$37389889,$821000,2.2%,$36568889,97.8%
42,New Interpretation Records of the Three Kingdoms,$36747486,-,-,$36747486,100%
43,The Confidence Man JP: Princess,$36109913,-,-,$36109913,100%
44,The Man Standing Next,$34664900,$113527,0.3%,$34551373,99.7%
45,My Mom is a Character 3,$34360029,-,-,$34360029,100%
