Rank,Release Group,Worldwide,Domestic,%,Foreign,%
46,Deliver Us from Evil,$33718703,-,-,$33718703,100%
47,Bloodshot,$33542457,$12561824,37.5%,$20980633,62.5%
48,Doraemon the Movie: Nobita's New Dinosaur,$33479893,-,-,$33479893,100%
49,Harry Potter and the Sorcerer's Stone 2020 Re-release,$31501815,-,-,$31501815,100%
50,Honest Thief,$31139004,$14163574,45.5%,$16975430,54.5%
51,Like a Boss,$30399490,$22169514,72.9%,$8229976,27.1%
52,Bath Buddy,$28700000,-,-,$28700000,100%
53,The Witches,$26958129,-,-,$26958129,100%
54,Emma.,$26405753,$10055355,38.1%,$16350398,61.9%
55,Leap,$25818882,$83074,0.3%,$25735808,99.7%
56,Scoob!,$24900000,-,-,$24900000,100%
57,Interstellar 2020 Re-release,$23771122,-,-,$23771122,100%
58,Gretel & Hansel,$22051055,$15347654,69.6%,$6703401,30.4%
59,Poupelle of Chimney Town,$21824592,-,-,$21824592,100%
60,Stigmatized Properties,$21276720,-,-,$21276720,100%
61,The Photograph,$20690779,$20578185,99.5%,$112594,0.5%
62,Yarn,$20444185,-,-,$20444185,100%
63,Brahms: The Boy II,$20311536,$12611536,62.1%,$7700000,37.9%
64,Violet Evergarden: The Movie,$20263658,-,-,$20263658,100%
65,Ice 2,$19788995,-,-,$19788995,100%
66,Soul Snatcher,$19561221,-,-,$19561221,100%
67,The Turning,$19429304,$15472775,79.6%,$3956529,20.4%
68,Fate/Stay Night: Heaven's Feel - III. Spring Song,$19252497,$200000,1%,$19052497,99%
69,How the Grinch Stole Christmas 2020 Re-release,$18455781,$420180,2.3%,$18035601,97.7%
70,The Father,$18395424,$2122771,11.5%,$16272653,88.5%
71,Takizawa Enbujo Zero,$18091395,-,-,$18091395,100%
72,The Promised Neverland,$17698106,-,-,$17698106,100%
73,Kaiji: Final Game,$17645779,-,-,$17645779,100%
74,Hitman: Agent Jun,$17601351,-,-,$17601351,100%
75,Digimon Adventure: Last Evolution Kizuna,$17068434,-,-,$17068434,100%
76,Baaghi 3,$16726510,$721439,4.3%,$16005071,95.7%
77,Promising Young Woman,$16322965,$6460965,39.6%,$9862000,60.4%
78,Pokémon the Movie: Secrets of the Jungle,$16052056,-,-,$16052056,100%
79,I Still Believe,$16021491,$9868521,61.6%,$6152970,38.4%
80,Freaky,$15920855,$9030855,56.7%,$6890000,43.3%
81,Bye Bye Morons,$15452122,-,-,$15452122,100%
82,The Way Back,$14690514,$13590514,92.5%,$1100000,7.5%
83,The Personal History of David Copperfield,$14323355,$1876298,13.1%,$12447057,86.9%
84,Nightlife,$14292148,-,-,$14292148,100%
85,Pawn,$14191042,-,-,$14191042,100%
86,The Lion King 2020 Re-release,$13784186,-,-,$13784186,100%
87,#Alive,$13432212,-,-,$13432212,100%
88,Howling Village,$13394556,-,-,$13394556,100%
89,Come Play,$13175457,$10475990,79.5%,$2699467,20.5%
90,Samjin Company English Class,$12761386,-,-,$12761386,100%
91,News of the World,$12668325,$12668325,100%,-,-
92,Collectors,$12640113,-,-,$12640113,100%
93,No Escapes,$12583300,-,-,$12583300,100%
94,Ducobu 3,$12157793,-,-,$12157793,100%
95,Legend No. 17,$11811335,-,-,$11811335,100%
96,Wotakoi: Love Is Hard for Otaku,$11702371,-,-,$11702371,100%
97,Padre no hay más que uno 2: La llegada de la suegra,$11700000,-,-,$11700000,100%
98,Let Him Go,$11630934,$9358025,80.5%,$2272909,19.5%
99,The Hunt,$11473631,$5812500,50.7%,$5661131,49.3%
100,The Voice of Sin,$10983063,-,-,$10983063,100%
101,Me contro Te - Il film: La vendetta del Signor S,$10779891,-,-,$10779891,100%
102,Impractical Jokers: The Movie,$10691091,$10691091,100%,-,-
103,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,$10628463,-,-,$10628463,100%
104,One Second,$10600000,-,-,$10600000,100%
105,Honest Candidate,$10597464,-,-,$10597464,100%
106,Street Dancer 3D,$10339127,-,-,$10339127,100%
107,My Spy,$10200000,-,-,$10200000,100%
108,The Asadas,$10066797,-,-,$10066797,100%
109,Stolen Identity 2,$9687188,-,-,$9687188,100%
110,10 Days with Dad,$9472077,$2359,<0.1%,$9469718,100%
111,365 Days,$9458590,-,-,$9458590,100%
112,Secret Zoo,$9457317,-,-,$9457317,100%
113,Okay Madam,$9433525,-,-,$9433525,100%
114,A Quiet Place 2020 Re-release,$9381052,-,-,$9381052,100%
115,Bohemian Rhapsody 2020 Re-release,$9360701,$240000,2.6%,$9120701,97.4%
116,Bigfoot Family,$9353378,-,-,$9353378,100%
117,L'appel de la forêt,$9317347,-,-,$9317347,100%
118,Inception 10th Anniversary re-release,$9100000,-,-,$9100000,100%
119,Break the Silence: The Movie,$8954345,-,-,$8954345,100%
120,The Closet,$8948595,-,-,$8948595,100%
121,I Hate Summer,$8926364,-,-,$8926364,100%
122,30 jours max,$8916866,-,-,$8916866,100%
123,Downhill,$8899195,$8287061,93.1%,$612134,6.9%
124,Les blagues de Toto,$8859185,-,-,$8859185,100%
125,The Secret Garden,$8842172,-,-,$8842172,100%
126,Malasaña 32,$8683909,-,-,$8683909,100%
127,Another Round,$8643452,-,-,$8643452,100%
128,Eltilerin Savasi,$8613864,-,-,$8613864,100%
129,Malang,$8399765,-,-,$8399765,100%
130,100% Wolf,$8169164,$658764,8.1%,$7510400,91.9%
131,Your Eyes Tell,$8020474,-,-,$8020474,100%
132,AI Amok,$7932191,-,-,$7932191,100%
133,The Lost Prince,$7837980,-,-,$7837980,100%
134,The Marriage Escape,$7760946,-,-,$7760946,100%
135,Spirited Away Studio Ghibli Fest 2020,$7732435,-,-,$7732435,100%
136,Neposredstvenno Kakha,$7692780,-,-,$7692780,100%
137,Princess Mononoke Studio Ghibli Fest 2020,$7673207,-,-,$7673207,100%
138,The Heist of the Century,$7558890,-,-,$7558890,100%
139,Fukushima 50,$7494243,-,-,$7494243,100%
140,De Gaulle,$7473247,-,-,$7473247,100%
141,Antoinette dans les Cévennes,$7441698,-,-,$7441698,100%
142,The (UN)perfect Guy,$7154649,-,-,$7154649,100%
143,Back to the Wharf,$7090000,-,-,$7090000,100%
144,Adu,$7085946,-,-,$7085946,100%
145,The Best Years,$7035246,-,-,$7035246,100%
146,Fatale,$6993043,$6306897,90.2%,$686146,9.8%
147,Spycies,$6979672,-,-,$6979672,100%
148,Jim Button and the Wild 13,$6880898,-,-,$6880898,100%
149,Antebellum,$6852361,-,-,$6852361,100%
150,Psy 3: W imie zasad,$6725146,-,-,$6725146,100%
151,Blood Moon Party,$6709383,-,-,$6709383,100%
152,Innocence,$6659968,-,-,$6659968,100%
153,Shubh Mangal Zyada Saavdhan,$6574905,-,-,$6574905,100%
154,Silver Skates,$6574310,-,-,$6574310,100%
155,Chhapaak,$6532100,$604334,9.3%,$5927766,90.7%
156,Love Me Love Me Not,$6494241,-,-,$6494241,100%
157,Dragon Rider,$6472379,-,-,$6472379,100%
158,Hammamet,$6434874,-,-,$6434874,100%
159,Lindenberg! Mach dein Ding,$6404964,-,-,$6404964,100%
160,Midnight Swan,$6397065,-,-,$6397065,100%
161,Nausicaä of the Valley of the Wind 2020 Re-release,$6395525,-,-,$6395525,100%
162,Simply Black,$6323750,-,-,$6323750,100%
163,My Boyfriend's Meds,$6292780,$2971116,47.2%,$3321664,52.8%
164,Bill & Ted Face the Music,$6274027,$3439660,54.8%,$2834367,45.2%
165,Hotel Belgrade,$6085659,-,-,$6085659,100%
166,The Legacy Of Dr. Death: Black File,$6024046,-,-,$6024046,100%
167,The Rhythm Section,$5989583,$5437971,90.8%,$551612,9.2%
168,Jak zostalem gangsterem. Historia prawdziwa,$5975729,-,-,$5975729,100%
169,How to Be a Good Wife,$5966014,-,-,$5966014,100%
170,Twiceborn,$5880157,$11527,0.2%,$5868630,99.8%
171,The Royal Bride,$5830719,-,-,$5830719,100%
172,Beasts Clawing at Straws,$5796059,-,-,$5796059,100%
173,Last Letter,$5663972,-,-,$5663972,100%
174,Yowamushi Pedal: The Movie 2020 Re-release,$5624218,-,-,$5624218,100%
175,Klassikokkutulek 2: Pulmad ja matused,$5543147,-,-,$5543147,100%
176,Hocus Pocus 2020 Re-release,$5432992,$4828000,88.9%,$604992,11.1%
177,Two by Two: Overboard!,$5360412,-,-,$5360412,100%
178,Divorce Club,$5316313,-,-,$5316313,100%
179,Cindy La Regia,$5222322,-,-,$5222322,100%
180,Mama Weed,$5144345,-,-,$5144345,100%
181,Love Aaj Kal,$5120794,-,-,$5120794,100%
182,Masked Ward,$5106794,-,-,$5106794,100%
183,Ayyappanum Koshiyum,$5088713,-,-,$5088713,100%
184,Baba Parasi,$5084342,-,-,$5084342,100%
185,Die Känguru-Chroniken,$5081127,-,-,$5081127,100%
186,The Real Exorcist,$5035830,-,-,$5035830,100%
187,Mayday,$5011408,-,-,$5011408,100%
188,Bheeshma,$4997080,-,-,$4997080,100%
189,Made in Abyss: Dawn of the Deep Soul,$4971635,-,-,$4971635,100%
190,Godai - The Wunderkind,$4948225,-,-,$4948225,100%
191,Panga,$4886124,$582720,11.9%,$4303404,88.1%
192,The Tales for Old and Young,$4853143,-,-,$4853143,100%
193,Streltsov,$4850073,-,-,$4850073,100%
194,The SpongeBob Movie: Sponge on the Run,$4810790,$4810790,100%,-,-
195,The Vets,$4788826,-,-,$4788826,100%
196,The Broken Hearts Gallery,$4781389,$4067442,85.1%,$713947,14.9%
197,Gladiator 20th Anniversary,$4780585,-,-,$4780585,100%
198,Intruder,$4751103,-,-,$4751103,100%
199,Granny Nanny,$4654655,$432,<0.1%,$4654223,100%
200,Military Wives,$4558564,-,-,$4558564,100%
