Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Star Wars: Episode VIII - The Last Jedi,$1332539889,$620181382,46.5%,$712358507,53.5%
2,Beauty and the Beast,$1263521126,$504014165,39.9%,$759506961,60.1%
3,The Fate of the Furious,$1236005118,$226008385,18.3%,$1009996733,81.7%
4,Despicable Me 3,$1034799409,$264624300,25.6%,$770175109,74.4%
5,Jumanji: Welcome to the Jungle,$962077546,$404515480,42%,$557562066,58%
6,Spider-Man: Homecoming,$880166924,$334201140,38%,$545965784,62%
7,Wolf Warrior 2,$870325439,$2721100,0.3%,$867604339,99.7%
8,Guardians of the Galaxy Vol. 2,$863756051,$389813101,45.1%,$473942950,54.9%
9,Thor: Ragnarok,$853977126,$315058289,36.9%,$538918837,63.1%
10,Wonder Woman,$821847012,$412563408,50.2%,$409283604,49.8%
11,Coco,$807816196,$210460015,26.1%,$597356181,73.9%
12,Pirates of the Caribbean: Dead Men Tell No Tales,$794861794,$172558876,21.7%,$622302918,78.3%
13,It,$700381748,$327481748,46.8%,$372900000,53.2%
14,Justice League,$657924295,$229024295,34.8%,$428900000,65.2%
15,Logan,$619021436,$226277068,36.6%,$392744368,63.4%
16,Transformers: The Last Knight,$605425157,$130168683,21.5%,$475256474,78.5%
17,Kong: Skull Island,$566652812,$168052812,29.7%,$398600000,70.3%
18,The Boss Baby,$527965936,$175003033,33.1%,$352962903,66.9%
19,Dunkirk,$525245546,$188045546,35.8%,$337200000,64.2%
20,War for the Planet of the Apes,$490719763,$146880162,29.9%,$343839601,70.1%
21,The Greatest Showman,$434993183,$174340174,40.1%,$260653009,59.9%
22,Kingsman: The Golden Circle,$410902662,$100234838,24.4%,$310667824,75.6%
23,The Mummy,$409231607,$80227895,19.6%,$329003712,80.4%
24,Cars 3,$383930656,$152901115,39.8%,$231029541,60.2%
25,Fifty Shades Darker,$381545846,$114581250,30%,$266964596,70%
26,Murder on the Orient Express,$352789811,$102826543,29.1%,$249963268,70.9%
27,xXx: Return of Xander Cage,$346118277,$44898413,13%,$301219864,87%
28,Never Say Die,$334530869,-,-,$334530869,100%
29,The Lego Batman Movie,$311950384,$175750384,56.3%,$136200000,43.7%
30,The Ex-File 3: The Return of The Exes,$307592427,$838959,0.3%,$306753468,99.7%
31,Annabelle: Creation,$306515884,$102092201,33.3%,$204423683,66.7%
32,Wonder,$305937718,$132422809,43.3%,$173514909,56.7%
33,Ferdinand,$296069199,$84410380,28.5%,$211658819,71.5%
34,Split,$278454358,$138291365,49.7%,$140162993,50.3%
35,Blade Runner 2049,$259239658,$92054159,35.5%,$167185499,64.5%
36,Kung Fu Yoga,$257743016,$362657,0.1%,$257380359,99.9%
37,Get Out,$255407969,$176040665,68.9%,$79367304,31.1%
38,Baahubali 2: The Conclusion,$254158390,$20186659,7.9%,$233971731,92.1%
39,Journey to the West: The Demons Strike Back,$247585244,$880346,0.4%,$246704898,99.6%
40,Alien: Covenant,$240891763,$74262031,30.8%,$166629732,69.2%
41,Paddington 2,$227978523,$40891591,17.9%,$187086932,82.1%
42,Youth,$227091290,$1891956,0.8%,$225199334,99.2%
43,Baby Driver,$226945087,$107825862,47.5%,$119119225,52.5%
44,Valerian and the City of a Thousand Planets,$225874228,$41189488,18.2%,$184684740,81.8%
45,Geostorm,$221600160,$33700160,15.2%,$187900000,84.8%
46,The Emoji Movie,$217776646,$86089513,39.5%,$131687133,60.5%
47,A Dog's Purpose,$205035819,$64508620,31.5%,$140527199,68.5%
48,Smurfs: The Lost Village,$197183546,$45020282,22.8%,$152163264,77.2%
49,The Shape of Water,$195333312,$63859435,32.7%,$131473877,67.3%
50,Pitch Perfect 3,$185400345,$104897530,56.6%,$80502815,43.4%
51,Daddy's Home 2,$180613180,$104029443,57.6%,$76583737,42.4%
52,The Post,$179769457,$81903458,45.6%,$97865999,54.4%
53,Baywatch,$177856751,$58060186,32.6%,$119796565,67.4%
54,The Hitman's Bodyguard,$176586701,$75468583,42.7%,$101118118,57.3%
55,John Wick: Chapter 2,$171539887,$92029184,53.6%,$79510703,46.4%
56,Ghost in the Shell,$169801921,$40563557,23.9%,$129238364,76.1%
57,Three Billboards Outside Ebbing Missouri,$160192031,$54513740,34%,$105678291,66%
58,Duckweed,$152894264,$471575,0.3%,$152422689,99.7%
59,Darkest Hour,$150847207,$56468410,37.4%,$94378797,62.6%
60,King Arthur: Legend of the Sword,$148675066,$39175066,26.3%,$109500000,73.7%
61,The Foreigner,$145374099,$34393507,23.7%,$110980592,76.3%
62,Power Rangers,$142337240,$85364450,60%,$56972790,40%
63,Girls Trip,$140552359,$115171585,81.9%,$25380774,18.1%
64,American Made,$134866593,$51342000,38.1%,$83524593,61.9%
65,A Bad Moms Christmas,$130560428,$72110659,55.2%,$58449769,44.8%
66,Happy Death Day,$125479266,$55683845,44.4%,$69795421,55.6%
67,Captain Underpants: The First Epic Movie,$125427681,$73921000,58.9%,$51506681,41.1%
68,The Lego Ninjago Movie,$123081555,$59281555,48.2%,$63800000,51.8%
69,Secret Superstar,$122026260,-,-,$122026260,100%
70,The Commuter,$119942387,$36343858,30.3%,$83598529,69.7%
71,Forever Young,$119055731,-,-,$119055731,100%
72,The Dark Tower,$113231078,$50701325,44.8%,$62529753,55.2%
73,Buddies in India,$110155128,$293194,0.3%,$109861934,99.7%
74,Along With the Gods: The Two Worlds,$109383972,$1908823,1.7%,$107475149,98.3%
75,The Tales of Wukong,$103818506,-,-,$103818506,100%
76,Jigsaw,$102952888,$38052832,37%,$64900056,63%
77,Life,$100541806,$30234022,30.1%,$70307784,69.9%
78,Atomic Blonde,$100014025,$51687870,51.7%,$48326155,48.3%
79,Legend of the Demon Cat,$97051623,-,-,$97051623,100%
80,The Shack,$96942115,$57386418,59.2%,$39555697,40.8%
81,Chasing the Dragon,$87965942,$456854,0.5%,$87509088,99.5%
82,Tiger Zinda Hai,$87320000,$5560921,6.4%,$81759079,93.6%
83,A Taxi Driver,$86252940,$1527829,1.8%,$84725111,98.2%
84,Going in Style,$84918541,$45018541,53%,$39900000,47%
85,Rings,$83080890,$27793018,33.5%,$55287872,66.5%
86,Once Upon A Time,$82886178,$485728,0.6%,$82400450,99.4%
87,Paradox,$79226860,-,-,$79226860,100%
88,Lady Bird,$78965611,$48958273,62%,$30007338,38%
89,Fantastica: A Boonie Bears Adventure,$77151096,-,-,$77151096,100%
90,The Nut Job 2: Nutty by Nature,$68743485,$28370522,41.3%,$40372963,58.7%
91,American Assassin,$67234188,$36249674,53.9%,$30984514,46.1%
92,Victoria & Abdul,$66558465,$22245070,33.4%,$44313395,66.6%
93,Suck Me Shakespeer 3,$64236772,-,-,$64236772,100%
94,Detective Conan: Crimson Love Letter,$63144805,-,-,$63144805,100%
95,The Mountain Between Us,$62832209,$30348555,48.3%,$32483654,51.7%
96,The Star,$62812974,$40852824,65%,$21960150,35%
97,How to Be a Latin Lover,$62547032,$32149404,51.4%,$30397628,48.6%
98,47 Meters Down,$62187529,$44307191,71.2%,$17880338,28.8%
99,Everything Everything,$61621140,$34121140,55.4%,$27500000,44.6%
100,Doraemon: Great Adventure in the Antarctic Kachi Kochi,$61153455,-,-,$61153455,100%
101,Snatched,$60845711,$45852178,75.4%,$14993533,24.6%
102,The Founding of an Army,$60600361,-,-,$60600361,100%
103,My Little Pony: The Movie,$60330833,$21885107,36.3%,$38445726,63.7%
104,Molly's Game,$59284015,$28780744,48.5%,$30503271,51.5%
105,The Devotion of Suspect X,$59035664,$686435,1.2%,$58349229,98.8%
106,Shock Wave,$58815633,-,-,$58815633,100%
107,Goldbuster,$57628292,$186135,0.3%,$57442157,99.7%
108,All the Money in the World,$56996304,$25113707,44.1%,$31882597,55.9%
109,The Big Sick,$56411585,$42873127,76%,$13538458,24%
110,Gongjo,$55972241,$475618,0.8%,$55496623,99.2%
111,All Eyez on Me,$55668698,$44922302,80.7%,$10746396,19.3%
112,Downsizing,$55003890,$24449754,44.5%,$30554136,55.5%
113,I Tonya,$53939297,$30014539,55.6%,$23924758,44.4%
114,1987: When the Day Comes,$53833618,-,-,$53833618,100%
