Rank,Release Group,Worldwide,Domestic,%,Foreign,%
115,The Outlaws,$52946454,-,-,$52946454,100%
116,Bleeding Steel,$48825526,-,-,$48825526,100%
117,Logan Lucky,$48453605,$27780977,57.3%,$20672628,42.7%
118,Boo 2! A Madea Halloween,$48333932,$47319572,97.9%,$1014360,2.1%
119,Sky Hunter,$48065601,-,-,$48065601,100%
120,Phantom Thread,$47756590,$21198205,44.4%,$26558385,55.6%
121,Rough Night,$47347283,$22105643,46.7%,$25241640,53.3%
122,Son of Bigfoot,$47046281,$289308,0.6%,$46756973,99.4%
123,Three Seconds,$46596415,-,-,$46596415,100%
124,The Thousand Faces of Dunjia,$46263237,$124187,0.3%,$46139050,99.7%
125,The Battleship Island,$46183383,$1104957,2.4%,$45078426,97.6%
126,Hanson and the Beast,$46154323,-,-,$46154323,100%
127,Gintama Live Action the Movie,$45746967,-,-,$45746967,100%
128,Guilty of Mind,$45698503,-,-,$45698503,100%
129,Flatliners,$45158254,$16883115,37.4%,$28275139,62.6%
130,Bad Genius,$44560421,-,-,$44560421,100%
131,Mother!,$44516999,$17800004,40%,$26716995,60%
132,Wind River,$43980821,$33800859,76.9%,$10179962,23.1%
133,Battle of Memories,$43892362,$594552,1.4%,$43297810,98.6%
134,The Snowman,$43155261,$6700035,15.5%,$36455226,84.5%
135,Gifted,$43046590,$24801212,57.6%,$18245378,42.4%
136,Loving Vincent,$42187665,$6735118,16%,$35452547,84%
137,Mary and the Witch's Flower,$41978431,$2418404,5.8%,$39560027,94.2%
138,Call Me by Your Name,$41887595,$18095701,43.2%,$23791894,56.8%
139,T2 Trainspotting,$41681746,$2402004,5.8%,$39279742,94.2%
140,Fist Fight,$41087017,$32187017,78.3%,$8900000,21.7%
141,The Circle,$40656399,$20497844,50.4%,$20158555,49.6%
142,Diary of a Wimpy Kid: The Long Haul,$40140972,$20738724,51.7%,$19402248,48.3%
143,Brotherhood of Blades 2,$39966092,$14204,<0.1%,$39951888,100%
144,Midnight Runners,$39730433,-,-,$39730433,100%
145,The King,$37886707,-,-,$37886707,100%
146,Pokémon the Movie: I Choose You!,$37552144,$2401722,6.4%,$35150422,93.6%
147,Home Again,$37270721,$27020284,72.5%,$10250437,27.5%
148,The Adventurers,$36796816,$216556,0.6%,$36580260,99.4%
149,Tad the Lost Explorer and the Secret of King Midas,$35704046,$5874,<0.1%,$35698172,100%
150,Hostiles,$35669017,$29819114,83.6%,$5849903,16.4%
151,Namiya,$35351623,$70814,0.2%,$35280809,99.8%
152,Destiny: The Tale of Kamakura,$35166640,-,-,$35166640,100%
153,The Liquidator,$35046130,-,-,$35046130,100%
154,Kidnap,$34814102,$30971040,89%,$3843062,11%
155,R.A.I.D. Special Unit,$34598750,-,-,$34598750,100%
156,The House,$34184504,$25584504,74.8%,$8600000,25.2%
157,I Want to Eat Your Pancreas,$33748006,$277019,0.8%,$33470987,99.2%
158,Perfect Strangers,$33262366,$1014507,3.1%,$32247859,96.9%
159,Sleepless,$32917353,$20783704,63.1%,$12133649,36.9%
160,Hindi Medium,$32841493,-,-,$32841493,100%
161,Steel Rain,$32783733,-,-,$32783733,100%
162,C'est la vie!,$32764243,-,-,$32764243,100%
163,The House That Never Dies: Reawakening,$32433588,-,-,$32433588,100%
164,The Invisible Guest,$31191910,-,-,$31191910,100%
165,This Is Not What I Expected,$30996615,$337670,1.1%,$30658945,98.9%
166,The Last Warrior,$30618274,-,-,$30618274,100%
167,Reset 2017 Re-release,$29949252,$108970,0.4%,$29840282,99.6%
168,The Bye Bye Man,$29874280,$22395806,75%,$7478474,25%
169,The Disaster Artist,$29820616,$21120616,70.8%,$8700000,29.2%
170,The Swindlers,$29721916,$241916,0.8%,$29480000,99.2%
171,Alibi.com,$29370592,-,-,$29370592,100%
172,Sword Art Online the Movie: Ordinal Scale,$29322339,$1522976,5.2%,$27799363,94.8%
173,Recep Ivedik 5,$28952258,-,-,$28952258,100%
174,Judwaa 2,$28733523,$1431255,5%,$27302268,95%
175,The Fortress,$28645448,$252895,0.9%,$28392553,99.1%
176,What Happened to Monday,$27975429,-,-,$27975429,100%
177,Monster Family,$27890108,$127259,0.5%,$27762849,99.5%
178,The Beguiled,$27869129,$10709995,38.4%,$17159134,61.6%
179,CHIPS,$26800152,$18600152,69.4%,$8200000,30.6%
180,A Cure for Wellness,$26620002,$8106986,30.5%,$18513016,69.5%
181,Only the Brave,$26351322,$18343983,69.6%,$8007339,30.4%
182,Twenty Two,$26289378,$46796,0.2%,$26242582,99.8%
183,The Zookeeper's Wife,$26152835,$17571660,67.2%,$8581175,32.8%
184,Badrinath Ki Dulhania,$26134309,$1993259,7.6%,$24141050,92.4%
185,A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release,$25960664,-,-,$25960664,100%
186,Love Off the Cuff,$25959989,-,-,$25959989,100%
187,Fireworks,$25672406,$525280,2%,$25147126,98%
188,Father Figures,$25601244,$17501244,68.4%,$8100000,31.6%
189,Money,$25403753,-,-,$25403753,100%
190,The Death of Stalin,$24646055,$8047856,32.7%,$16598199,67.3%
191,The 8-Year Engagement,$24425963,-,-,$24425963,100%
192,Jolly LLB 2,$24214186,$1654254,6.8%,$22559932,93.2%
193,I Can Speak,$24024444,$63239,0.3%,$23961205,99.7%
194,Wish Upon,$23468586,$14301505,60.9%,$9167081,39.1%
195,Detroit,$23355100,$16790139,71.9%,$6564961,28.1%
196,Extraordinary Mission,$22757764,$54174,0.2%,$22703590,99.8%
197,The Glass Castle,$22088533,$17273059,78.2%,$4815474,21.8%
198,Leap! 2017 Re-release,$21929861,$21858070,99.7%,$71791,0.3%
199,Épouse-moi mon pote,$21571464,-,-,$21571464,100%
200,The Prison,$21205329,$207481,1%,$20997848,99%
