Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Captain America: Civil War,$1153296293,$408084349,35.4%,$745211944,64.6%
2,Rogue One: A Star Wars Story,$1056057273,$532177324,50.4%,$523879949,49.6%
3,Finding Dory,$1028570889,$486295561,47.3%,$542275328,52.7%
4,Zootopia,$1023784195,$341268248,33.3%,$682515947,66.7%
5,The Jungle Book,$966550600,$364001123,37.7%,$602549477,62.3%
6,The Secret Life of Pets,$875457937,$368384330,42.1%,$507073607,57.9%
7,Batman v Superman: Dawn of Justice,$873634919,$330360194,37.8%,$543274725,62.2%
8,Fantastic Beasts and Where to Find Them,$814037575,$234037575,28.8%,$580000000,71.2%
9,Deadpool,$782612155,$363070709,46.4%,$419541446,53.6%
10,Suicide Squad,$746846894,$325100054,43.5%,$421746840,56.5%
11,Doctor Strange,$677718395,$232641920,34.3%,$445076475,65.7%
12,Moana,$643331111,$248757044,38.7%,$394574067,61.3%
13,Sing,$634151679,$270395425,42.6%,$363756254,57.4%
14,Mei ren yu,$553810228,$3232685,0.6%,$550577543,99.4%
15,X-Men: Apocalypse,$543934105,$155442489,28.6%,$388491616,71.4%
16,Kung Fu Panda 3,$521170825,$143528619,27.5%,$377642206,72.5%
17,La La Land,$447407695,$151101803,33.8%,$296305892,66.2%
18,Warcraft,$439048914,$47365290,10.8%,$391683624,89.2%
19,Jason Bourne,$415484914,$162434410,39.1%,$253050504,60.9%
20,Ice Age: Collision Course,$408579038,$64063008,15.7%,$344516030,84.3%
21,Independence Day: Resurgence,$389681935,$103144286,26.5%,$286537649,73.5%
22,Your Name.,$357986087,$5017246,1.4%,$352968841,98.6%
23,The Legend of Tarzan,$356700357,$126643061,35.5%,$230057296,64.5%
24,The Angry Birds Movie,$352333929,$107509366,30.5%,$244824563,69.5%
25,Trolls,$346864462,$153707064,44.3%,$193157398,55.7%
26,Star Trek Beyond,$343471816,$158848340,46.2%,$184623476,53.8%
27,The Great Wall,$334933831,$45540830,13.6%,$289393001,86.4%
28,Now You See Me 2,$334897606,$65075540,19.4%,$269822066,80.6%
29,The Conjuring 2,$320392818,$102470008,32%,$217922810,68%
30,Resident Evil: The Final Chapter,$312242626,$26830068,8.6%,$285412558,91.4%
31,Dangal,$303723636,$12391761,4.1%,$291331875,95.9%
32,Passengers,$303144152,$100014699,33%,$203129453,67%
33,Alice Through the Looking Glass,$299457024,$77041381,25.7%,$222415643,74.3%
34,Miss Peregrine's Home for Peculiar Children,$296482446,$87242834,29.4%,$209239612,70.6%
35,Teenage Mutant Ninja Turtles: Out of the Shadows,$245623848,$82051601,33.4%,$163572247,66.6%
36,Sully,$240797623,$125070033,51.9%,$115727590,48.1%
37,Assassin's Creed,$240697856,$54647948,22.7%,$186049908,77.3%
38,Hidden Figures,$235956898,$169607287,71.9%,$66349611,28.1%
39,Ghostbusters,$229147509,$128350574,56%,$100796935,44%
40,Inferno,$220021259,$34343574,15.6%,$185677685,84.4%
41,Central Intelligence,$216972543,$127440871,58.7%,$89531672,41.3%
42,Bridget Jones's Baby,$211952420,$24252420,11.4%,$187700000,88.6%
43,Me Before You,$208314186,$56245075,27%,$152069111,73%
44,London Has Fallen,$205754447,$62524260,30.4%,$143230187,69.6%
45,Arrival,$203388186,$100546139,49.4%,$102842047,50.6%
46,The BFG,$195243411,$55483770,28.4%,$139759641,71.6%
47,The Monkey King 2,$193678298,$709982,0.4%,$192968316,99.6%
48,Bad Moms,$183936074,$113257297,61.6%,$70678777,38.4%
49,Storks,$183388953,$72679278,39.6%,$110709675,60.4%
50,From Vegas to Macau III,$181732879,-,-,$181732879,100%
51,Hacksaw Ridge,$180563636,$67209615,37.2%,$113354021,62.8%
52,Allegiant,$179246868,$66184051,36.9%,$113062817,63.1%
53,Operation Mekong,$173839072,$800012,0.5%,$173039060,99.5%
54,The Girl on the Train,$173185859,$75395035,43.5%,$97790824,56.5%
55,The Huntsman: Winter's War,$164989338,$48390190,29.3%,$116599148,70.7%
56,The Magnificent Seven,$162360636,$93432655,57.5%,$68927981,42.5%
57,Jack Reacher: Never Go Back,$162146076,$58697076,36.2%,$103449000,63.8%
58,Don't Breathe,$157830487,$89217875,56.5%,$68612612,43.5%
59,The Accountant,$155160045,$86260045,55.6%,$68900000,44.4%
60,Lights Out,$148868835,$67268835,45.2%,$81600000,54.8%
61,Time Raiders,$145819137,-,-,$145819137,100%
62,Pete's Dragon,$143695338,$76233151,53.1%,$67462187,46.9%
63,Sausage Party,$140705322,$97685686,69.4%,$43019636,30.6%
64,Lion,$140312928,$51738905,36.9%,$88574023,63.1%
65,Skiptrace,$136579287,-,-,$136579287,100%
66,Mechanic: Resurrection,$125729635,$21218403,16.9%,$104511232,83.1%
67,Deepwater Horizon,$121790373,$61433527,50.4%,$60356846,49.6%
68,Allied,$119520023,$40098064,33.5%,$79421959,66.5%
69,I Belonged to You,$119107580,$744541,0.6%,$118363039,99.4%
70,The Shallows,$119100758,$55124043,46.3%,$63976715,53.7%
71,The Purge: Election Year,$118587880,$79213375,66.8%,$39374505,33.2%
72,Why Him?,$118102725,$60323786,51.1%,$57778939,48.9%
73,Finding Mr Right 2,$114679097,-,-,$114679097,100%
74,Office Christmas Party,$114501299,$54767494,47.8%,$59733805,52.2%
75,How to Be Single,$112343513,$46843513,41.7%,$65500000,58.3%
76,10 Cloverfield Lane,$110216998,$72082998,65.4%,$38134000,34.6%
77,Neighbors 2: Sorority Rising,$108007109,$55455765,51.3%,$52551344,48.7%
78,Cold War II,$103197501,$560824,0.5%,$102636677,99.5%
79,Railroad Tigers,$102205175,$218044,0.2%,$101987131,99.8%
80,Qing sheng,$95721320,$100026,0.1%,$95621294,99.9%
81,Dirty Grandpa,$94073028,$35593113,37.8%,$58479915,62.2%
82,Ben-Hur,$94061311,$26410477,28.1%,$67650834,71.9%
83,Money Monster,$93282604,$41012075,44%,$52270529,56%
84,Train to Busan,$92742323,$2129768,2.3%,$90612555,97.7%
85,My Big Fat Greek Wedding 2,$90632641,$59689605,65.9%,$30943036,34.1%
86,Collateral Beauty,$88528280,$31016021,35%,$57512259,65%
87,Line Walker,$88228755,-,-,$88228755,100%
88,Sultan,$87280000,$6200000,7.1%,$81080000,92.9%
89,War Dogs,$86234523,$43034523,49.9%,$43200000,50.1%
90,Big Fish & Begonia,$85409373,-,-,$85409373,100%
91,Nerve,$85251425,$38583626,45.3%,$46667799,54.7%
92,Leap!,$84197417,$2844490,3.4%,$81352927,96.6%
93,Ouija: Origin of Evil,$81705746,$35144505,43%,$46561241,57%
94,Underworld: Blood Wars,$81093313,$30353973,37.4%,$50739340,62.6%
95,Manchester by the Sea,$78988148,$47695371,60.4%,$31292777,39.6%
96,The Boss,$78844582,$63285885,80.3%,$15558697,19.7%
97,Shin Godzilla,$77947607,$1918403,2.5%,$76029204,97.5%
98,Mike and Dave Need Wedding Dates,$77068246,$46009673,59.7%,$31058573,40.3%
99,Kubo and the Two Strings,$76249438,$48023088,63%,$28226350,37%
100,Quo vado?,$75878701,-,-,$75878701,100%
101,Boo! A Madea Halloween,$74827344,$73206343,97.8%,$1621001,2.2%
102,Miracles from Heaven,$73983003,$61705123,83.4%,$12277880,16.6%
103,I Am Not Madame Bovary,$70826207,$436798,0.6%,$70389409,99.4%
104,Bai du ren,$70065569,-,-,$70065569,100%
105,One Piece Film: Gold,$66207073,$423593,0.6%,$65783480,99.4%
106,Moonlight,$65336603,$27854932,42.6%,$37481671,57.4%
107,Monster Trucks,$64493915,$33370166,51.7%,$31123749,48.3%
108,Fences,$64414761,$57682904,89.5%,$6731857,10.5%
109,Hail Caesar!,$63647656,$30498085,47.9%,$33149571,52.1%
110,The Nice Guys,$62788218,$36261763,57.8%,$26526455,42.2%
111,Huo guo ying xiong,$58106427,$779818,1.3%,$57326609,98.7%
112,L.O.R.D: Legend of Ravaging Dynasties,$58089494,$350456,0.6%,$57739038,99.4%
113,Nine Lives,$57814445,$19700032,34.1%,$38114413,65.9%
114,Zoolander 2,$56722693,$28848693,50.9%,$27874000,49.1%
115,Barbershop: The Next Cut,$55030051,$54030051,98.2%,$1000000,1.8%
116,The Age of Shadows,$54491162,$541719,1%,$53949443,99%
117,A Chinese Odyssey: Part Three,$53306108,-,-,$53306108,100%
118,Teo-neol,$52444295,$568876,1.1%,$51875419,98.9%
119,Patriots Day,$52185751,$31886361,61.1%,$20299390,38.9%
120,My Beloved Bodyguard,$52165873,-,-,$52165873,100%
121,The Finest Hours,$52099090,$27569558,52.9%,$24529532,47.1%
122,Master,$51636415,$597251,1.2%,$51039164,98.8%
123,Doraemon the Movie: Nobita and the Birth of Japan,$50939840,-,-,$50939840,100%
