Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,Filename,Year
72,Sisters,$105011053,$87044645,82.9%,$17966408,17.1%,2015.csv,2015
73,Chappie,$102811889,$31569268,30.7%,$71242621,69.3%,2015.csv,2015
74,Joy,$101134059,$56451232,55.8%,$44682827,44.2%,2015.csv,2015
75,Black Mass,$99775678,$62575678,62.7%,$37200000,37.3%,2015.csv,2015
76,Spotlight,$98690254,$45055776,45.7%,$53634478,54.3%,2015.csv,2015
77,Devil and Angel,$98599942,$131058,0.1%,$98468884,99.9%,2015.csv,2015
78,The Visit,$98450062,$65206105,66.2%,$33243957,33.8%,2015.csv,2015
79,The Little Prince,$97571250,$1339152,1.4%,$96232098,98.6%,2015.csv,2015
80,Assassination,$96119773,$1904682,2%,$94215091,98%,2015.csv,2015
81,Poltergeist,$95437994,$47425125,49.7%,$48012869,50.3%,2015.csv,2015
82,Veteran,$94393020,$1200627,1.3%,$93192393,98.7%,2015.csv,2015
83,In the Heart of the Sea,$93920758,$25020758,26.6%,$68900000,73.4%,2015.csv,2015
84,Kill Zone 2,$93638358,$11998,<0.1%,$93626360,100%,2015.csv,2015
85,Southpaw,$91970827,$52421953,57%,$39548874,43%,2015.csv,2015
86,The Second Best Exotic Marigold Hotel,$85978266,$33078266,38.5%,$52900000,61.5%,2015.csv,2015
87,Paper Towns,$85512300,$32000304,37.4%,$53511996,62.6%,2015.csv,2015
88,Sicario,$84872444,$46889293,55.2%,$37983151,44.8%,2015.csv,2015
89,Our Times,$83867493,-,-,$83867493,100%,2015.csv,2015
90,Suck Me Shakespeer 2,$83027924,-,-,$83027924,100%,2015.csv,2015
91,Hitman: Agent 47,$82347656,$22467450,27.3%,$59880206,72.7%,2015.csv,2015
92,Wolf Warrior,$81411331,-,-,$81411331,100%,2015.csv,2015
93,Go Away Mr. Tumor,$80606893,$286639,0.4%,$80320254,99.6%,2015.csv,2015
94,The Wedding Ringer,$79799880,$64460211,80.8%,$15339669,19.2%,2015.csv,2015
95,Paranormal Activity: The Ghost Dimension,$78903124,$18300124,23.2%,$60603000,76.8%,2015.csv,2015
96,The Left Ear,$78015473,-,-,$78015473,100%,2015.csv,2015
97,Tiny Times 4.0,$77750000,-,-,$77750000,100%,2015.csv,2015
98,Bajrangi Bhaijaan,$75547184,$8178001,10.8%,$67369183,89.2%,2015.csv,2015
99,War Room,$73267874,$67790117,92.5%,$5477757,7.5%,2015.csv,2015
100,The Transporter Refueled,$72629670,$16029670,22.1%,$56600000,77.9%,2015.csv,2015
101,Run All Night,$71561644,$26461644,37%,$45100000,63%,2015.csv,2015
102,13 Hours,$69411370,$52853219,76.1%,$16558151,23.9%,2015.csv,2015
103,Running Man,$68782475,$310978,0.5%,$68471497,99.5%,2015.csv,2015
104,A Violent Prosecutor,$66736633,-,-,$66736633,100%,2015.csv,2015
105,The Age of Adaline,$65663276,$42629776,64.9%,$23033500,35.1%,2015.csv,2015
106,Monk Comes Down the Mountain,$64455686,-,-,$64455686,100%,2015.csv,2015
107,Zhongkui: Snow Girl and the Dark Crystal,$64325947,$165428,0.3%,$64160519,99.7%,2015.csv,2015
108,The Danish Girl,$64191523,$11114018,17.3%,$53077505,82.7%,2015.csv,2015
109,The Boy,$64188367,$35819556,55.8%,$28368811,44.2%,2015.csv,2015
110,The Hundred Regiments Offensive,$63230000,-,-,$63230000,100%,2015.csv,2015
111,The Longest Ride,$62944815,$37446117,59.5%,$25498698,40.5%,2015.csv,2015
112,Unfriended,$62882090,$32482090,51.7%,$30400000,48.3%,2015.csv,2015
113,Brooklyn,$62076141,$38322743,61.7%,$23753398,38.3%,2015.csv,2015
114,"Dragon Ball Z: Resurrection ""F""",$61768190,$8008363,13%,$53759827,87%,2015.csv,2015
115,Woman in Gold,$61619773,$33307793,54.1%,$28311980,45.9%,2015.csv,2015
116,Krampus,$61548707,$42725475,69.4%,$18823232,30.6%,2015.csv,2015
117,The Perfect Guy,$60273173,$57027435,94.6%,$3245738,5.4%,2015.csv,2015
118,Forever Young,$59981902,$149761,0.2%,$59832141,99.8%,2015.csv,2015
119,Miss Granny,$59396311,$234573,0.4%,$59161738,99.6%,2015.csv,2015
120,The Gift,$58978653,$43787265,74.2%,$15191388,25.8%,2015.csv,2015
121,You Are My Sunshine,$56640000,-,-,$56640000,100%,2015.csv,2015
122,No Escape,$54418872,$27288872,50.1%,$27130000,49.9%,2015.csv,2015
123,Sinister 2,$53329150,$27740955,52%,$25588195,48%,2015.csv,2015
124,Detective Conan: Sunflowers of Inferno,$52920296,-,-,$52920296,100%,2015.csv,2015
125,Prem Ratan Dhan Payo,$52715771,$4364639,8.3%,$48351132,91.7%,2015.csv,2015
126,The Boy Next Door,$52425855,$35423380,67.6%,$17002475,32.4%,2015.csv,2015
127,The Night Before,$52395996,$43047372,82.2%,$9348624,17.8%,2015.csv,2015
128,Hollywood Adventures,$52265070,-,-,$52265070,100%,2015.csv,2015
129,Yo-kai Watch Movie: It's the Secret of Birth Meow!,$51838845,$257343,0.5%,$51581502,99.5%,2015.csv,2015
130,Hot Pursuit,$51380201,$34580201,67.3%,$16800000,32.7%,2015.csv,2015
131,The Himalayas,$50544493,$696717,1.4%,$49847776,98.6%,2015.csv,2015
132,The Boy and the Beast,$49714378,$490643,1%,$49223735,99%,2015.csv,2015
133,Surprise,$49567466,-,-,$49567466,100%,2015.csv,2015
134,Entourage,$49263404,$32363404,65.7%,$16900000,34.3%,2015.csv,2015
135,The Woman in Black 2: Angel of Death,$48854305,$26501323,54.2%,$22352982,45.8%,2015.csv,2015
136,Concussion,$48623572,$34542474,71%,$14081098,29%,2015.csv,2015
137,Inside Men,$47616503,-,-,$47616503,100%,2015.csv,2015
138,Lie ri zhuo xin,$47600000,-,-,$47600000,100%,2015.csv,2015
139,Boonie Bears Winter,$47581416,-,-,$47581416,100%,2015.csv,2015
140,Mortdecai,$47275695,$7696134,16.3%,$39579561,83.7%,2015.csv,2015
141,Let's Get Married,$45972724,$462918,1%,$45509806,99%,2015.csv,2015
142,Somewhere Only We Know,$45737711,$482341,1.1%,$45255370,98.9%,2015.csv,2015
143,McFarland USA,$45710059,$44482410,97.3%,$1227649,2.7%,2015.csv,2015
144,Hero,$45565534,$88675,0.2%,$45476859,99.8%,2015.csv,2015
145,Still Alice,$44779195,$18754371,41.9%,$26024824,58.1%,2015.csv,2015
146,Max,$43967255,$42656255,97%,$1311000,3%,2015.csv,2015
147,The DUFF,$43709744,$34030343,77.9%,$9679401,22.1%,2015.csv,2015
148,Legend,$42972994,$1872994,4.4%,$41100000,95.6%,2015.csv,2015
149,The Gallows,$42964410,$22764410,53%,$20200000,47%,2015.csv,2015
150,Love the Coopers,$42426912,$26302731,62%,$16124181,38%,2015.csv,2015
151,The Throne,$42165755,-,-,$42165755,100%,2015.csv,2015
152,The Lady in the Van,$41387687,$10021175,24.2%,$31366512,75.8%,2015.csv,2015
