Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,Filename,Year
118,Teo-neol,$52444295,$568876,1.1%,$51875419,98.9%,2016.csv,2016
119,Patriots Day,$52185751,$31886361,61.1%,$20299390,38.9%,2016.csv,2016
120,My Beloved Bodyguard,$52165873,-,-,$52165873,100%,2016.csv,2016
121,The Finest Hours,$52099090,$27569558,52.9%,$24529532,47.1%,2016.csv,2016
122,Master,$51636415,$597251,1.2%,$51039164,98.8%,2016.csv,2016
123,Doraemon the Movie: Nobita and the Birth of Japan,$50939840,-,-,$50939840,100%,2016.csv,2016
124,The Wailing,$49851770,$786633,1.6%,$49065137,98.4%,2016.csv,2016
125,Demain tout commence,$49619118,-,-,$49619118,100%,2016.csv,2016
126,Never Gone,$48980792,$96421,0.2%,$48884371,99.8%,2016.csv,2016
127,Luck-Key,$48913975,$466505,1%,$48447470,99%,2016.csv,2016
128,Florence Foster Jenkins,$48902953,$27383770,56%,$21519183,44%,2016.csv,2016
129,Mother's Day,$48782670,$32492859,66.6%,$16289811,33.4%,2016.csv,2016
130,Yo-kai Watch Movie: It's the Secret of Birth Meow! 2016 Re-release,$47642462,-,-,$47642462,100%,2016.csv,2016
131,A Monster Calls,$47309313,$3740823,7.9%,$43568490,92.1%,2016.csv,2016
132,Risen,$46432579,$36880033,79.4%,$9552546,20.6%,2016.csv,2016
133,Eddie the Eagle,$46152800,$15789389,34.2%,$30363411,65.8%,2016.csv,2016
134,Blair Witch,$45173154,$20777061,46%,$24396093,54%,2016.csv,2016
135,Boonie Bears: The Big Top Secret,$45150390,-,-,$45150390,100%,2016.csv,2016
136,Café Society,$43763247,$11103205,25.4%,$32660042,74.6%,2016.csv,2016
137,League of Gods,$43498766,$181633,0.4%,$43317133,99.6%,2016.csv,2016
138,Almost Christmas,$42580920,$42158780,99%,$422140,1%,2016.csv,2016
139,The Witch,$40423945,$25138705,62.2%,$15285240,37.8%,2016.csv,2016
140,The Wild Life,$40075446,$8005586,20%,$32069860,80%,2016.csv,2016
141,Love O2O,$39969537,-,-,$39969537,100%,2016.csv,2016
142,The Forest,$39712000,$26594261,67%,$13117739,33%,2016.csv,2016
143,Absolutely Fabulous: The Movie,$39219109,$4772155,12.2%,$34446954,87.8%,2016.csv,2016
144,My Mom Is a Character 2,$39195565,-,-,$39195565,100%,2016.csv,2016
145,Masterpiece Mystery: Sherlock: The Abominable Bride,$39139204,-,-,$39139204,100%,2016.csv,2016
146,Crouching Tiger Hidden Dragon: Sword of Destiny,$38659039,-,-,$38659039,100%,2016.csv,2016
147,Hell or High Water,$37879877,$27007844,71.3%,$10872033,28.7%,2016.csv,2016
148,Mission Milano,$37749848,-,-,$37749848,100%,2016.csv,2016
149,The Handmaiden,$37692886,$2006788,5.3%,$35686098,94.7%,2016.csv,2016
150,Snowden,$37357216,$21587519,57.8%,$15769697,42.2%,2016.csv,2016
151,Nobunaga Concerto: The Movie,$36187594,-,-,$36187594,100%,2016.csv,2016
152,Eye in the Sky,$35259653,$18704595,53%,$16555058,47%,2016.csv,2016
153,Les Tuche 2: The American Dream,$35210425,-,-,$35210425,100%,2016.csv,2016
154,Os Dez Mandamentos - O Filme,$31998251,-,-,$31998251,100%,2016.csv,2016
155,Bounty Hunters,$31918573,-,-,$31918573,100%,2016.csv,2016
156,Ae Dil Hai Mushkil,$31668920,$4264983,13.5%,$27403937,86.5%,2016.csv,2016
157,Assassination Classroom: The Graduation,$31352921,-,-,$31352921,100%,2016.csv,2016
158,Perfect Strangers,$31254929,-,-,$31254929,100%,2016.csv,2016
159,Billy Lynn's Long Halftime Walk,$30930984,$1738477,5.6%,$29192507,94.4%,2016.csv,2016
160,Pandora,$30896701,-,-,$30896701,100%,2016.csv,2016
161,Norm of the North,$30734502,$17062499,55.5%,$13672003,44.5%,2016.csv,2016
162,When the Bough Breaks,$30658387,$29747603,97%,$910784,3%,2016.csv,2016
163,S Storm,$30381402,-,-,$30381402,100%,2016.csv,2016
164,Nocturnal Animals,$30311857,$10663357,35.2%,$19648500,64.8%,2016.csv,2016
165,A Silent Voice: The Movie,$30156463,$310407,1%,$29846056,99%,2016.csv,2016
166,Keeping Up with the Joneses,$29918745,$14904426,49.8%,$15014319,50.2%,2016.csv,2016
167,Jackie,$29777777,$13960394,46.9%,$15817383,53.1%,2016.csv,2016
168,Masterminds,$29674699,$17368022,58.5%,$12306677,41.5%,2016.csv,2016
169,Flight Crew,$29171110,-,-,$29171110,100%,2016.csv,2016
170,Viking,$29161298,-,-,$29161298,100%,2016.csv,2016
171,M.S. Dhoni: The Untold Story,$28903047,$1801550,6.2%,$27101497,93.8%,2016.csv,2016
172,Fan,$28240000,$2300000,8.1%,$25940000,91.9%,2016.csv,2016
173,Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds Meow!,$28110245,-,-,$28110245,100%,2016.csv,2016
174,Welcome to Germany,$28036021,-,-,$28036021,100%,2016.csv,2016
175,The Brothers Grimsby,$27979040,$6874837,24.6%,$21104203,75.4%,2016.csv,2016
176,When Larry Meets Mary,$27863090,-,-,$27863090,100%,2016.csv,2016
177,Yesterday Once More,$27411872,-,-,$27411872,100%,2016.csv,2016
178,The Light Between Oceans,$25975621,$12545979,48.3%,$13429642,51.7%,2016.csv,2016
179,A Beautiful Planet,$25730120,$15650615,60.8%,$10079505,39.2%,2016.csv,2016
180,Mr. Donkey,$25537759,$356255,1.4%,$25181504,98.6%,2016.csv,2016
181,Born in China,$25081168,$13873211,55.3%,$11207957,44.7%,2016.csv,2016
182,Race,$25070261,$19206207,76.6%,$5864054,23.4%,2016.csv,2016
183,Call of Heroes,$25040561,-,-,$25040561,100%,2016.csv,2016
184,Free State of Jones,$25035950,$20810036,83.1%,$4225914,16.9%,2016.csv,2016
185,Whiskey Tango Foxtrot,$24972139,$23083334,92.4%,$1888805,7.6%,2016.csv,2016
186,Soulmate,$24684439,-,-,$24684439,100%,2016.csv,2016
187,The Snow Queen 3: Fire and Ice,$24644317,-,-,$24644317,100%,2016.csv,2016
188,God's Not Dead 2,$24487848,$20774575,84.8%,$3713273,15.2%,2016.csv,2016
189,Camping 3,$24224579,-,-,$24224579,100%,2016.csv,2016
190,The Founder,$24121245,$12786053,53%,$11335192,47%,2016.csv,2016
191,Bad Santa 2,$24079268,$17782178,73.8%,$6297090,26.2%,2016.csv,2016
192,Spirits' Homecoming,$23857217,$125616,0.5%,$23731601,99.5%,2016.csv,2016
193,Silence,$23834809,$7100177,29.8%,$16734632,70.2%,2016.csv,2016
194,Kevin Hart: What Now?,$23591043,$23591043,100%,-,-,2016.csv,2016
195,No manches Frida,$23540937,$11528613,49%,$12012324,51%,2016.csv,2016
196,Middle School: The Worst Years of My Life,$23316139,$20007149,85.8%,$3308990,14.2%,2016.csv,2016
197,Triple 9,$23177948,$12639297,54.5%,$10538651,45.5%,2016.csv,2016
198,Rock Dog,$23157646,$9420546,40.7%,$13737100,59.3%,2016.csv,2016
199,The Choice,$23064015,$18730891,81.2%,$4333124,18.8%,2016.csv,2016
200,Penny Pincher!,$22955486,-,-,$22955486,100%,2016.csv,2016
1,Star Wars: Episode VIII - The Last Jedi,$1332539889,$620181382,46.5%,$712358507,53.5%,2017.csv,2017
2,Beauty and the Beast,$1263521126,$504014165,39.9%,$759506961,60.1%,2017.csv,2017
3,The Fate of the Furious,$1236005118,$226008385,18.3%,$1009996733,81.7%,2017.csv,2017
4,Despicable Me 3,$1034799409,$264624300,25.6%,$770175109,74.4%,2017.csv,2017
5,Jumanji: Welcome to the Jungle,$962077546,$404515480,42%,$557562066,58%,2017.csv,2017
6,Spider-Man: Homecoming,$880166924,$334201140,38%,$545965784,62%,2017.csv,2017
7,Wolf Warrior 2,$870325439,$2721100,0.3%,$867604339,99.7%,2017.csv,2017
8,Guardians of the Galaxy Vol. 2,$863756051,$389813101,45.1%,$473942950,54.9%,2017.csv,2017
9,Thor: Ragnarok,$853977126,$315058289,36.9%,$538918837,63.1%,2017.csv,2017
10,Wonder Woman,$821847012,$412563408,50.2%,$409283604,49.8%,2017.csv,2017
11,Coco,$807816196,$210460015,26.1%,$597356181,73.9%,2017.csv,2017
12,Pirates of the Caribbean: Dead Men Tell No Tales,$794861794,$172558876,21.7%,$622302918,78.3%,2017.csv,2017
13,It,$700381748,$327481748,46.8%,$372900000,53.2%,2017.csv,2017
14,Justice League,$657924295,$229024295,34.8%,$428900000,65.2%,2017.csv,2017
15,Logan,$619021436,$226277068,36.6%,$392744368,63.4%,2017.csv,2017
16,Transformers: The Last Knight,$605425157,$130168683,21.5%,$475256474,78.5%,2017.csv,2017
17,Kong: Skull Island,$566652812,$168052812,29.7%,$398600000,70.3%,2017.csv,2017
18,The Boss Baby,$527965936,$175003033,33.1%,$352962903,66.9%,2017.csv,2017
19,Dunkirk,$525245546,$188045546,35.8%,$337200000,64.2%,2017.csv,2017
20,War for the Planet of the Apes,$490719763,$146880162,29.9%,$343839601,70.1%,2017.csv,2017
21,The Greatest Showman,$434993183,$174340174,40.1%,$260653009,59.9%,2017.csv,2017
22,Kingsman: The Golden Circle,$410902662,$100234838,24.4%,$310667824,75.6%,2017.csv,2017
23,The Mummy,$409231607,$80227895,19.6%,$329003712,80.4%,2017.csv,2017
24,Cars 3,$383930656,$152901115,39.8%,$231029541,60.2%,2017.csv,2017
25,Fifty Shades Darker,$381545846,$114581250,30%,$266964596,70%,2017.csv,2017
26,Murder on the Orient Express,$352789811,$102826543,29.1%,$249963268,70.9%,2017.csv,2017
27,xXx: Return of Xander Cage,$346118277,$44898413,13%,$301219864,87%,2017.csv,2017
28,Never Say Die,$334530869,-,-,$334530869,100%,2017.csv,2017
29,The Lego Batman Movie,$311950384,$175750384,56.3%,$136200000,43.7%,2017.csv,2017
30,The Ex-File 3: The Return of The Exes,$307592427,$838959,0.3%,$306753468,99.7%,2017.csv,2017
31,Annabelle: Creation,$306515884,$102092201,33.3%,$204423683,66.7%,2017.csv,2017
32,Wonder,$305937718,$132422809,43.3%,$173514909,56.7%,2017.csv,2017
33,Ferdinand,$296069199,$84410380,28.5%,$211658819,71.5%,2017.csv,2017
34,Split,$278454358,$138291365,49.7%,$140162993,50.3%,2017.csv,2017
35,Blade Runner 2049,$259239658,$92054159,35.5%,$167185499,64.5%,2017.csv,2017
36,Kung Fu Yoga,$257743016,$362657,0.1%,$257380359,99.9%,2017.csv,2017
37,Get Out,$255407969,$176040665,68.9%,$79367304,31.1%,2017.csv,2017
38,Baahubali 2: The Conclusion,$254158390,$20186659,7.9%,$233971731,92.1%,2017.csv,2017
39,Journey to the West: The Demons Strike Back,$247585244,$880346,0.4%,$246704898,99.6%,2017.csv,2017
40,Alien: Covenant,$240891763,$74262031,30.8%,$166629732,69.2%,2017.csv,2017
41,Paddington 2,$227978523,$40891591,17.9%,$187086932,82.1%,2017.csv,2017
42,Youth,$227091290,$1891956,0.8%,$225199334,99.2%,2017.csv,2017
43,Baby Driver,$226945087,$107825862,47.5%,$119119225,52.5%,2017.csv,2017
44,Valerian and the City of a Thousand Planets,$225874228,$41189488,18.2%,$184684740,81.8%,2017.csv,2017
45,Geostorm,$221600160,$33700160,15.2%,$187900000,84.8%,2017.csv,2017
46,The Emoji Movie,$217776646,$86089513,39.5%,$131687133,60.5%,2017.csv,2017
47,A Dog's Purpose,$205035819,$64508620,31.5%,$140527199,68.5%,2017.csv,2017
48,Smurfs: The Lost Village,$197183546,$45020282,22.8%,$152163264,77.2%,2017.csv,2017
49,The Shape of Water,$195333312,$63859435,32.7%,$131473877,67.3%,2017.csv,2017
50,Pitch Perfect 3,$185400345,$104897530,56.6%,$80502815,43.4%,2017.csv,2017
51,Daddy's Home 2,$180613180,$104029443,57.6%,$76583737,42.4%,2017.csv,2017
52,The Post,$179769457,$81903458,45.6%,$97865999,54.4%,2017.csv,2017
53,Baywatch,$177856751,$58060186,32.6%,$119796565,67.4%,2017.csv,2017
54,The Hitman's Bodyguard,$176586701,$75468583,42.7%,$101118118,57.3%,2017.csv,2017
55,John Wick: Chapter 2,$171539887,$92029184,53.6%,$79510703,46.4%,2017.csv,2017
56,Ghost in the Shell,$169801921,$40563557,23.9%,$129238364,76.1%,2017.csv,2017
57,Three Billboards Outside Ebbing Missouri,$160192031,$54513740,34%,$105678291,66%,2017.csv,2017
58,Duckweed,$152894264,$471575,0.3%,$152422689,99.7%,2017.csv,2017
59,Darkest Hour,$150847207,$56468410,37.4%,$94378797,62.6%,2017.csv,2017
60,King Arthur: Legend of the Sword,$148675066,$39175066,26.3%,$109500000,73.7%,2017.csv,2017
61,The Foreigner,$145374099,$34393507,23.7%,$110980592,76.3%,2017.csv,2017
62,Power Rangers,$142337240,$85364450,60%,$56972790,40%,2017.csv,2017
63,Girls Trip,$140552359,$115171585,81.9%,$25380774,18.1%,2017.csv,2017
64,American Made,$134866593,$51342000,38.1%,$83524593,61.9%,2017.csv,2017
65,A Bad Moms Christmas,$130560428,$72110659,55.2%,$58449769,44.8%,2017.csv,2017
66,Happy Death Day,$125479266,$55683845,44.4%,$69795421,55.6%,2017.csv,2017
67,Captain Underpants: The First Epic Movie,$125427681,$73921000,58.9%,$51506681,41.1%,2017.csv,2017
68,The Lego Ninjago Movie,$123081555,$59281555,48.2%,$63800000,51.8%,2017.csv,2017
69,Secret Superstar,$122026260,-,-,$122026260,100%,2017.csv,2017
70,The Commuter,$119942387,$36343858,30.3%,$83598529,69.7%,2017.csv,2017
71,Forever Young,$119055731,-,-,$119055731,100%,2017.csv,2017
72,The Dark Tower,$113231078,$50701325,44.8%,$62529753,55.2%,2017.csv,2017
73,Buddies in India,$110155128,$293194,0.3%,$109861934,99.7%,2017.csv,2017
74,Along With the Gods: The Two Worlds,$109383972,$1908823,1.7%,$107475149,98.3%,2017.csv,2017
75,The Tales of Wukong,$103818506,-,-,$103818506,100%,2017.csv,2017
76,Jigsaw,$102952888,$38052832,37%,$64900056,63%,2017.csv,2017
77,Life,$100541806,$30234022,30.1%,$70307784,69.9%,2017.csv,2017
78,Atomic Blonde,$100014025,$51687870,51.7%,$48326155,48.3%,2017.csv,2017
79,Legend of the Demon Cat,$97051623,-,-,$97051623,100%,2017.csv,2017
80,The Shack,$96942115,$57386418,59.2%,$39555697,40.8%,2017.csv,2017
81,Chasing the Dragon,$87965942,$456854,0.5%,$87509088,99.5%,2017.csv,2017
82,Tiger Zinda Hai,$87320000,$5560921,6.4%,$81759079,93.6%,2017.csv,2017
83,A Taxi Driver,$86252940,$1527829,1.8%,$84725111,98.2%,2017.csv,2017
84,Going in Style,$84918541,$45018541,53%,$39900000,47%,2017.csv,2017
85,Rings,$83080890,$27793018,33.5%,$55287872,66.5%,2017.csv,2017
86,Once Upon A Time,$82886178,$485728,0.6%,$82400450,99.4%,2017.csv,2017
87,Paradox,$79226860,-,-,$79226860,100%,2017.csv,2017
88,Lady Bird,$78965611,$48958273,62%,$30007338,38%,2017.csv,2017
89,Fantastica: A Boonie Bears Adventure,$77151096,-,-,$77151096,100%,2017.csv,2017
90,The Nut Job 2: Nutty by Nature,$68743485,$28370522,41.3%,$40372963,58.7%,2017.csv,2017
91,American Assassin,$67234188,$36249674,53.9%,$30984514,46.1%,2017.csv,2017
92,Victoria & Abdul,$66558465,$22245070,33.4%,$44313395,66.6%,2017.csv,2017
93,Suck Me Shakespeer 3,$64236772,-,-,$64236772,100%,2017.csv,2017
94,Detective Conan: Crimson Love Letter,$63144805,-,-,$63144805,100%,2017.csv,2017
95,The Mountain Between Us,$62832209,$30348555,48.3%,$32483654,51.7%,2017.csv,2017
96,The Star,$62812974,$40852824,65%,$21960150,35%,2017.csv,2017
97,How to Be a Latin Lover,$62547032,$32149404,51.4%,$30397628,48.6%,2017.csv,2017
98,47 Meters Down,$62187529,$44307191,71.2%,$17880338,28.8%,2017.csv,2017
99,Everything Everything,$61621140,$34121140,55.4%,$27500000,44.6%,2017.csv,2017
100,Doraemon: Great Adventure in the Antarctic Kachi Kochi,$61153455,-,-,$61153455,100%,2017.csv,2017
101,Snatched,$60845711,$45852178,75.4%,$14993533,24.6%,2017.csv,2017
102,The Founding of an Army,$60600361,-,-,$60600361,100%,2017.csv,2017
103,My Little Pony: The Movie,$60330833,$21885107,36.3%,$38445726,63.7%,2017.csv,2017
104,Molly's Game,$59284015,$28780744,48.5%,$30503271,51.5%,2017.csv,2017
105,The Devotion of Suspect X,$59035664,$686435,1.2%,$58349229,98.8%,2017.csv,2017
106,Shock Wave,$58815633,-,-,$58815633,100%,2017.csv,2017
107,Goldbuster,$57628292,$186135,0.3%,$57442157,99.7%,2017.csv,2017
108,All the Money in the World,$56996304,$25113707,44.1%,$31882597,55.9%,2017.csv,2017
109,The Big Sick,$56411585,$42873127,76%,$13538458,24%,2017.csv,2017
110,Gongjo,$55972241,$475618,0.8%,$55496623,99.2%,2017.csv,2017
111,All Eyez on Me,$55668698,$44922302,80.7%,$10746396,19.3%,2017.csv,2017
112,Downsizing,$55003890,$24449754,44.5%,$30554136,55.5%,2017.csv,2017
113,I Tonya,$53939297,$30014539,55.6%,$23924758,44.4%,2017.csv,2017
114,1987: When the Day Comes,$53833618,-,-,$53833618,100%,2017.csv,2017
115,The Outlaws,$52946454,-,-,$52946454,100%,2017.csv,2017
116,Bleeding Steel,$48825526,-,-,$48825526,100%,2017.csv,2017
117,Logan Lucky,$48453605,$27780977,57.3%,$20672628,42.7%,2017.csv,2017
118,Boo 2! A Madea Halloween,$48333932,$47319572,97.9%,$1014360,2.1%,2017.csv,2017
119,Sky Hunter,$48065601,-,-,$48065601,100%,2017.csv,2017
120,Phantom Thread,$47756590,$21198205,44.4%,$26558385,55.6%,2017.csv,2017
121,Rough Night,$47347283,$22105643,46.7%,$25241640,53.3%,2017.csv,2017
122,Son of Bigfoot,$47046281,$289308,0.6%,$46756973,99.4%,2017.csv,2017
123,Three Seconds,$46596415,-,-,$46596415,100%,2017.csv,2017
124,The Thousand Faces of Dunjia,$46263237,$124187,0.3%,$46139050,99.7%,2017.csv,2017
125,The Battleship Island,$46183383,$1104957,2.4%,$45078426,97.6%,2017.csv,2017
126,Hanson and the Beast,$46154323,-,-,$46154323,100%,2017.csv,2017
127,Gintama Live Action the Movie,$45746967,-,-,$45746967,100%,2017.csv,2017
128,Guilty of Mind,$45698503,-,-,$45698503,100%,2017.csv,2017
129,Flatliners,$45158254,$16883115,37.4%,$28275139,62.6%,2017.csv,2017
130,Bad Genius,$44560421,-,-,$44560421,100%,2017.csv,2017
131,Mother!,$44516999,$17800004,40%,$26716995,60%,2017.csv,2017
132,Wind River,$43980821,$33800859,76.9%,$10179962,23.1%,2017.csv,2017
133,Battle of Memories,$43892362,$594552,1.4%,$43297810,98.6%,2017.csv,2017
134,The Snowman,$43155261,$6700035,15.5%,$36455226,84.5%,2017.csv,2017
135,Gifted,$43046590,$24801212,57.6%,$18245378,42.4%,2017.csv,2017
136,Loving Vincent,$42187665,$6735118,16%,$35452547,84%,2017.csv,2017
137,Mary and the Witch's Flower,$41978431,$2418404,5.8%,$39560027,94.2%,2017.csv,2017
138,Call Me by Your Name,$41887595,$18095701,43.2%,$23791894,56.8%,2017.csv,2017
139,T2 Trainspotting,$41681746,$2402004,5.8%,$39279742,94.2%,2017.csv,2017
140,Fist Fight,$41087017,$32187017,78.3%,$8900000,21.7%,2017.csv,2017
141,The Circle,$40656399,$20497844,50.4%,$20158555,49.6%,2017.csv,2017
142,Diary of a Wimpy Kid: The Long Haul,$40140972,$20738724,51.7%,$19402248,48.3%,2017.csv,2017
143,Brotherhood of Blades 2,$39966092,$14204,<0.1%,$39951888,100%,2017.csv,2017
144,Midnight Runners,$39730433,-,-,$39730433,100%,2017.csv,2017
145,The King,$37886707,-,-,$37886707,100%,2017.csv,2017
146,Pokémon the Movie: I Choose You!,$37552144,$2401722,6.4%,$35150422,93.6%,2017.csv,2017
147,Home Again,$37270721,$27020284,72.5%,$10250437,27.5%,2017.csv,2017
148,The Adventurers,$36796816,$216556,0.6%,$36580260,99.4%,2017.csv,2017
149,Tad the Lost Explorer and the Secret of King Midas,$35704046,$5874,<0.1%,$35698172,100%,2017.csv,2017
150,Hostiles,$35669017,$29819114,83.6%,$5849903,16.4%,2017.csv,2017
151,Namiya,$35351623,$70814,0.2%,$35280809,99.8%,2017.csv,2017
152,Destiny: The Tale of Kamakura,$35166640,-,-,$35166640,100%,2017.csv,2017
153,The Liquidator,$35046130,-,-,$35046130,100%,2017.csv,2017
154,Kidnap,$34814102,$30971040,89%,$3843062,11%,2017.csv,2017
155,R.A.I.D. Special Unit,$34598750,-,-,$34598750,100%,2017.csv,2017
156,The House,$34184504,$25584504,74.8%,$8600000,25.2%,2017.csv,2017
157,I Want to Eat Your Pancreas,$33748006,$277019,0.8%,$33470987,99.2%,2017.csv,2017
158,Perfect Strangers,$33262366,$1014507,3.1%,$32247859,96.9%,2017.csv,2017
159,Sleepless,$32917353,$20783704,63.1%,$12133649,36.9%,2017.csv,2017
160,Hindi Medium,$32841493,-,-,$32841493,100%,2017.csv,2017
161,Steel Rain,$32783733,-,-,$32783733,100%,2017.csv,2017
162,C'est la vie!,$32764243,-,-,$32764243,100%,2017.csv,2017
163,The House That Never Dies: Reawakening,$32433588,-,-,$32433588,100%,2017.csv,2017
164,The Invisible Guest,$31191910,-,-,$31191910,100%,2017.csv,2017
165,This Is Not What I Expected,$30996615,$337670,1.1%,$30658945,98.9%,2017.csv,2017
166,The Last Warrior,$30618274,-,-,$30618274,100%,2017.csv,2017
167,Reset 2017 Re-release,$29949252,$108970,0.4%,$29840282,99.6%,2017.csv,2017
168,The Bye Bye Man,$29874280,$22395806,75%,$7478474,25%,2017.csv,2017
169,The Disaster Artist,$29820616,$21120616,70.8%,$8700000,29.2%,2017.csv,2017
170,The Swindlers,$29721916,$241916,0.8%,$29480000,99.2%,2017.csv,2017
171,Alibi.com,$29370592,-,-,$29370592,100%,2017.csv,2017
172,Sword Art Online the Movie: Ordinal Scale,$29322339,$1522976,5.2%,$27799363,94.8%,2017.csv,2017
173,Recep Ivedik 5,$28952258,-,-,$28952258,100%,2017.csv,2017
174,Judwaa 2,$28733523,$1431255,5%,$27302268,95%,2017.csv,2017
175,The Fortress,$28645448,$252895,0.9%,$28392553,99.1%,2017.csv,2017
176,What Happened to Monday,$27975429,-,-,$27975429,100%,2017.csv,2017
177,Monster Family,$27890108,$127259,0.5%,$27762849,99.5%,2017.csv,2017
178,The Beguiled,$27869129,$10709995,38.4%,$17159134,61.6%,2017.csv,2017
179,CHIPS,$26800152,$18600152,69.4%,$8200000,30.6%,2017.csv,2017
180,A Cure for Wellness,$26620002,$8106986,30.5%,$18513016,69.5%,2017.csv,2017
181,Only the Brave,$26351322,$18343983,69.6%,$8007339,30.4%,2017.csv,2017
182,Twenty Two,$26289378,$46796,0.2%,$26242582,99.8%,2017.csv,2017
183,The Zookeeper's Wife,$26152835,$17571660,67.2%,$8581175,32.8%,2017.csv,2017
184,Badrinath Ki Dulhania,$26134309,$1993259,7.6%,$24141050,92.4%,2017.csv,2017
185,A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release,$25960664,-,-,$25960664,100%,2017.csv,2017
186,Love Off the Cuff,$25959989,-,-,$25959989,100%,2017.csv,2017
187,Fireworks,$25672406,$525280,2%,$25147126,98%,2017.csv,2017
188,Father Figures,$25601244,$17501244,68.4%,$8100000,31.6%,2017.csv,2017
189,Money,$25403753,-,-,$25403753,100%,2017.csv,2017
190,The Death of Stalin,$24646055,$8047856,32.7%,$16598199,67.3%,2017.csv,2017
191,The 8-Year Engagement,$24425963,-,-,$24425963,100%,2017.csv,2017
192,Jolly LLB 2,$24214186,$1654254,6.8%,$22559932,93.2%,2017.csv,2017
193,I Can Speak,$24024444,$63239,0.3%,$23961205,99.7%,2017.csv,2017
194,Wish Upon,$23468586,$14301505,60.9%,$9167081,39.1%,2017.csv,2017
195,Detroit,$23355100,$16790139,71.9%,$6564961,28.1%,2017.csv,2017
196,Extraordinary Mission,$22757764,$54174,0.2%,$22703590,99.8%,2017.csv,2017
197,The Glass Castle,$22088533,$17273059,78.2%,$4815474,21.8%,2017.csv,2017
198,Leap! 2017 Re-release,$21929861,$21858070,99.7%,$71791,0.3%,2017.csv,2017
199,Épouse-moi mon pote,$21571464,-,-,$21571464,100%,2017.csv,2017
200,The Prison,$21205329,$207481,1%,$20997848,99%,2017.csv,2017
1,Avengers: Infinity War,$2048359754,$678815482,33.1%,$1369544272,66.9%,2018.csv,2018
2,Black Panther,$1346913161,$700059566,52%,$646853595,48%,2018.csv,2018
3,Jurassic World: Fallen Kingdom,$1308467944,$417719760,31.9%,$890748184,68.1%,2018.csv,2018
4,Incredibles 2,$1242805359,$608581744,49%,$634223615,51%,2018.csv,2018
5,Aquaman,$1148461807,$335061807,29.2%,$813400000,70.8%,2018.csv,2018
6,Bohemian Rhapsody,$903655259,$216428042,24%,$687227217,76%,2018.csv,2018
7,Venom,$856085151,$213515506,24.9%,$642569645,75.1%,2018.csv,2018
8,Mission: Impossible - Fallout,$791115104,$220159104,27.8%,$570956000,72.2%,2018.csv,2018
9,Deadpool 2,$734546611,$318491426,43.4%,$416055185,56.6%,2018.csv,2018
10,Fantastic Beasts: The Crimes of Grindelwald,$654855901,$159555901,24.4%,$495300000,75.6%,2018.csv,2018
11,Ant-Man and the Wasp,$622674139,$216648740,34.8%,$406025399,65.2%,2018.csv,2018
12,Ready Player One,$582890172,$137690172,23.6%,$445200000,76.4%,2018.csv,2018
13,Operation Red Sea,$579330426,$1543547,0.3%,$577786879,99.7%,2018.csv,2018
14,Detective Chinatown 2,$544185156,$1983984,0.4%,$542201172,99.6%,2018.csv,2018
15,The Meg,$530243742,$145443742,27.4%,$384800000,72.6%,2018.csv,2018
16,Ralph Breaks the Internet,$529323962,$201091711,38%,$328232251,62%,2018.csv,2018
17,Hotel Transylvania 3: Summer Vacation,$528583774,$167510016,31.7%,$361073758,68.3%,2018.csv,2018
18,The Grinch,$511595957,$270620950,52.9%,$240975007,47.1%,2018.csv,2018
19,Bumblebee,$467989645,$127195589,27.2%,$340794056,72.8%,2018.csv,2018
20,Dying to Survive,$451176639,-,-,$451176639,100%,2018.csv,2018
21,A Star Is Born,$436188866,$215288866,49.4%,$220900000,50.6%,2018.csv,2018
22,Rampage,$428028233,$101028233,23.6%,$327000000,76.4%,2018.csv,2018
23,Mamma Mia! Here We Go Again,$395044706,$120634935,30.5%,$274409771,69.5%,2018.csv,2018
24,Solo: A Star Wars Story,$392924807,$213767512,54.4%,$179157295,45.6%,2018.csv,2018
25,Spider-Man: Into the Spider-Verse,$375540831,$190241310,50.7%,$185299521,49.3%,2018.csv,2018
26,Fifty Shades Freed,$371985018,$100407760,27%,$271577258,73%,2018.csv,2018
27,Hello Mr. Billionaire,$366961907,-,-,$366961907,100%,2018.csv,2018
28,The Nun,$365550119,$117450119,32.1%,$248100000,67.9%,2018.csv,2018
29,Monster Hunt 2,$361682618,$706153,0.2%,$360976465,99.8%,2018.csv,2018
30,Peter Rabbit,$351266433,$115253424,32.8%,$236013009,67.2%,2018.csv,2018
31,Mary Poppins Returns,$349537494,$171958438,49.2%,$177579056,50.8%,2018.csv,2018
32,A Quiet Place,$340939361,$188024361,55.1%,$152915000,44.9%,2018.csv,2018
33,Green Book,$321752656,$85080171,26.4%,$236672485,73.6%,2018.csv,2018
34,Skyscraper,$304868961,$68420120,22.4%,$236448841,77.6%,2018.csv,2018
35,Ocean's Eight,$297718711,$140218711,47.1%,$157500000,52.9%,2018.csv,2018
36,Pacific Rim: Uprising,$290930148,$59874525,20.6%,$231055623,79.4%,2018.csv,2018
37,Maze Runner: The Death Cure,$288175335,$58032443,20.1%,$230142892,79.9%,2018.csv,2018
