Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
276,The Predator,160542134,51024708,109517426,2018.csv,2018,0.3178275181018835,0.6821724818981165
277,Three Billboards Outside Ebbing Missouri,160192031,54513740,105678291,2017.csv,2017,0.3403024461310438,0.6596975538689562
278,Johnny English Strikes Again,158970776,4412170,154558606,2018.csv,2018,0.02775459811556811,0.9722454018844319
279,Focus,158762963,53862963,104900000,2015.csv,2015,0.3392665517334795,0.6607334482665205
280,Goosebumps,158260952,80080379,78180573,2015.csv,2015,0.5060021312142745,0.4939978687857255
281,Don't Breathe,157830487,89217875,68612612,2016.csv,2016,0.565276561555563,0.4347234384444369
282,Hustlers,157563598,104963598,52600000,2019.csv,2019,0.6661665469203109,0.33383345307968915
283,Ip Man 3,156954938,2679437,154275501,2015.csv,2015,0.01707137751855886,0.9829286224814411
284,The Climbers,156892866,487157,156405709,2019.csv,2019,0.0031050296448788183,0.9968949703551212
285,The Hateful Eight,155760117,54117416,101642701,2015.csv,2015,0.3474407765114866,0.6525592234885135
286,Escape Room,155712077,57005601,98706476,2019.csv,2019,0.36609620845273294,0.6339037915472671
287,The Accountant,155160045,86260045,68900000,2016.csv,2016,0.5559423819450426,0.44405761805495736
288,Monkey King: Hero Is Back,153262397,0,153262397,2015.csv,2015,0.0,1.0
289,Yesterday,153178480,73286650,79891830,2019.csv,2019,0.4784395954314209,0.5215604045685791
290,Duckweed,152894264,471575,152422689,2017.csv,2017,0.0030843210704098096,0.9969156789295902
291,Red Sparrow,151572634,46874505,104698129,2018.csv,2018,0.30925440670246584,0.6907455932975342
292,Darkest Hour,150847207,56468410,94378797,2017.csv,2017,0.37434176689794463,0.6256582331020554
293,Gods of Egypt,150680864,31153464,119527400,2015.csv,2015,0.20675129656808977,0.7932487034319102
294,Lights Out,148868835,67268835,81600000,2016.csv,2016,0.4518664702387172,0.5481335297612828
295,King Arthur: Legend of the Sword,148675066,39175066,109500000,2017.csv,2017,0.2634945257061463,0.7365054742938537
296,The Angry Birds Movie 2,147792047,41667116,106124931,2019.csv,2019,0.2819307049722371,0.7180692950277628
297,The Last Witch Hunter,146936910,27367660,119569250,2015.csv,2015,0.18625449521158435,0.8137455047884157
298,Angel Has Fallen,146661977,69030436,77631541,2019.csv,2019,0.470677113537069,0.529322886462931
299,Time Raiders,145819137,0,145819137,2016.csv,2016,0.0,1.0
300,The Foreigner,145374099,34393507,110980592,2017.csv,2017,0.23658620921186244,0.7634137907881375
301,Pete's Dragon,143695338,76233151,67462187,2016.csv,2016,0.5305193060612725,0.4694806939387275
302,The Invisible Man,143151000,70410000,72741000,2020.csv,2020,0.49185824758471824,0.5081417524152818
303,More Than Blue,142958164,722669,142235495,2018.csv,2018,0.005055108290282743,0.9949448917097172
304,Power Rangers,142337240,85364450,56972790,2017.csv,2017,0.5997337731151735,0.4002662268848265
305,Onward,141950121,61555145,80394976,2020.csv,2020,0.43363925698943223,0.5663607430105678
306,Trainwreck,140795793,110212700,30583093,2015.csv,2015,0.7827840424180856,0.2172159575819144
307,Sausage Party,140705322,97685686,43019636,2016.csv,2016,0.6942572221966131,0.3057427778033869
308,Girls Trip,140552359,115171585,25380774,2017.csv,2017,0.8194212165446473,0.18057878345535275
309,Lion,140312928,51738905,88574023,2016.csv,2016,0.3687394008341127,0.6312605991658873
310,Mr. Six,139191345,1415450,137775895,2015.csv,2015,0.010169094924688026,0.989830905075312
311,The First Purge,137056262,69488745,67567517,2018.csv,2018,0.5070089026650968,0.49299109733490326
312,How Long Will I Love U,136796719,746933,136049786,2018.csv,2018,0.005460167505918033,0.994539832494082
313,Skiptrace,136579287,0,136579287,2016.csv,2016,0.0,1.0
314,American Made,134866593,51342000,83524593,2017.csv,2017,0.3806873063072039,0.6193126936927961
315,Point Break,133718711,28782481,104936230,2015.csv,2015,0.21524647362178057,0.7847535263782194
316,The Big Short,133440870,70259870,63181000,2015.csv,2015,0.5265243699325401,0.47347563006745985
317,A Wrinkle in Time,132675864,100478608,32197256,2018.csv,2018,0.7573239394921144,0.2426760605078856
318,The House with a Clock in Its Walls,131457147,68549695,62907452,2018.csv,2018,0.521460388912898,0.478539611087102
319,A Bad Moms Christmas,130560428,72110659,58449769,2017.csv,2017,0.5523163496369665,0.4476836503630334
320,Warm Hug,129240236,0,129240236,2020.csv,2020,0.0,1.0
321,Pan,128388320,35088320,93300000,2015.csv,2015,0.2732983810365304,0.7267016189634695
322,Ad Astra,127461872,50188370,77273502,2019.csv,2019,0.393752023350167,0.606247976649833
323,Midway,127420861,56846802,70574059,2019.csv,2019,0.4461341852022174,0.5538658147977826
324,The Upside,125852517,108252517,17600000,2019.csv,2019,0.860153770305603,0.13984622969439697
325,Detective Chinatown,125842935,474252,125368683,2015.csv,2015,0.003768602504383738,0.9962313974956163
326,Wolf Totem,125837070,210591,125626479,2015.csv,2015,0.0016735211651065938,0.9983264788348934
327,Mechanic: Resurrection,125729635,21218403,104511232,2016.csv,2016,0.1687621458536804,0.8312378541463196
328,Happy Death Day,125479266,55683845,69795421,2017.csv,2017,0.44376929173302626,0.5562307082669737
329,Captain Underpants: The First Epic Movie,125427681,73921000,51506681,2017.csv,2017,0.5893515642691345,0.4106484357308655
330,Ride Along 2,124605297,91221830,33383467,2015.csv,2015,0.7320862932496361,0.2679137067503639
331,The Curse of la Llorona,123133739,54733739,68400000,2019.csv,2019,0.4445064321485438,0.5554935678514562
332,The Lego Ninjago Movie,123081555,59281555,63800000,2017.csv,2017,0.4816445079849698,0.5183554920150302
333,Looking Up,122994583,84267,122910316,2019.csv,2019,0.0006851277344466463,0.9993148722655534
334,Zombieland: Double Tap,122810399,73123082,49687317,2019.csv,2019,0.5954144160056023,0.40458558399439776
335,Dragon Blade,122593849,74068,122519781,2015.csv,2015,0.0006041738684621934,0.9993958261315378
336,Secret Superstar,122026260,0,122026260,2017.csv,2017,0.0,1.0
337,Deepwater Horizon,121790373,61433527,60356846,2016.csv,2016,0.5044202221139433,0.4955797778860567
338,Last Christmas,121550750,35150750,86400000,2019.csv,2019,0.2891857927655732,0.7108142072344268
339,Instant Family,120556201,67363237,53192964,2018.csv,2018,0.5587704028596588,0.4412295971403412
340,The Commuter,119942387,36343858,83598529,2017.csv,2017,0.3030109614210029,0.6969890385789971
341,Extreme Job,119932733,1565885,118366848,2019.csv,2019,0.013056360518358236,0.9869436394816418
342,Dora and the Lost City of Gold,119682635,60477943,59204692,2019.csv,2019,0.505319280445321,0.4946807195546789
343,Wonder Park,119559110,45216793,74342317,2019.csv,2019,0.37819613244026323,0.6218038675597368
344,Allied,119520023,40098064,79421959,2016.csv,2016,0.33549243878575896,0.664507561214241
345,Soul,119198268,0,119198268,2020.csv,2020,0.0,1.0
346,I Belonged to You,119107580,744541,118363039,2016.csv,2016,0.006250995948368693,0.9937490040516314
347,The Shallows,119100758,55124043,63976715,2016.csv,2016,0.46283536667331704,0.537164633326683
348,Forever Young,119055731,0,119055731,2017.csv,2017,0.0,1.0
349,The Purge: Election Year,118587880,79213375,39374505,2016.csv,2016,0.6679719293405025,0.3320280706594974
350,A Cool Fish,118153135,551876,117601259,2018.csv,2018,0.004670853634141828,0.9953291463658581
351,Why Him?,118102725,60323786,57778939,2016.csv,2016,0.5107738707976467,0.4892261292023533
352,P Storm,117991727,326711,117665016,2019.csv,2019,0.0027689314183866466,0.9972310685816134
353,Magic Mike XXL,117813057,66013057,51800000,2015.csv,2015,0.5603203811271954,0.43967961887280455
354,Game Night,117679066,69179066,48500000,2018.csv,2018,0.5878621266419637,0.41213787335803637
355,Dragon Ball Super: Broly,115757940,30712119,85045821,2018.csv,2018,0.26531328218176653,0.7346867178182335
356,Detective Conan: The Fist of Blue Sapphire,115570314,0,115570314,2019.csv,2019,0.0,1.0
357,The Gentlemen,115171795,36471795,78700000,2019.csv,2019,0.31667297535824634,0.6833270246417537
358,The Monkey King 3,115084576,187074,114897502,2018.csv,2018,0.0016255349457081026,0.998374465054292
359,Finding Mr Right 2,114679097,0,114679097,2016.csv,2016,0.0,1.0
360,Office Christmas Party,114501299,54767494,59733805,2016.csv,2016,0.47831329843690246,0.5216867015630976
361,The Dark Tower,113231078,50701325,62529753,2017.csv,2017,0.44776863291895885,0.5522313670810411
362,Pet Sematary,113118226,54724696,58393530,2019.csv,2019,0.4837831880425706,0.5162168119574294
363,Insidious: Chapter 3,112983889,52218558,60765331,2015.csv,2015,0.46217702773534375,0.5378229722646563
364,Boonie Bears: Blast Into the Past,112369259,0,112369259,2019.csv,2019,0.0,1.0
365,How to Be Single,112343513,46843513,65500000,2016.csv,2016,0.4169667811616324,0.5830332188383677
366,Get Hard,111711453,90411453,21300000,2015.csv,2015,0.809330203591569,0.19066979640843093
367,The Call of the Wild,111105497,62342368,48763129,2020.csv,2020,0.5611096631879519,0.4388903368120481
368,Good Boys,111037232,83140306,27896926,2019.csv,2019,0.748760613917321,0.251239386082679
369,10 Cloverfield Lane,110216998,72082998,38134000,2016.csv,2016,0.6540098107190326,0.34599018928096736
370,Buddies in India,110155128,293194,109861934,2017.csv,2017,0.002661646401064506,0.9973383535989355
371,The 5th Wave,109906372,34916787,74989585,2015.csv,2015,0.3176957474312772,0.6823042525687227
372,Along With the Gods: The Two Worlds,109383972,1908823,107475149,2017.csv,2017,0.017450664526974757,0.9825493354730253
373,Neighbors 2: Sorority Rising,108007109,55455765,52551344,2016.csv,2016,0.5134455084803723,0.48655449151962765
374,Paul Blart: Mall Cop 2,107588225,71038190,36550035,2015.csv,2015,0.6602784830774929,0.33972151692250707
375,Vacation,107228221,58884188,48344033,2015.csv,2015,0.5491482321617552,0.45085176783824477
376,The Man from U.N.C.L.E.,107045109,45445109,61600000,2015.csv,2015,0.42454166682197503,0.575458333178025
377,Chronicles of the Ghostly Tribe,106380000,0,106380000,2015.csv,2015,0.0,1.0
378,Shaun the Sheep Movie,106209378,19375982,86833396,2015.csv,2015,0.18243193176406702,0.817568068235933
379,First Man,105697415,44936545,60760870,2018.csv,2018,0.4251432733714443,0.5748567266285557
380,Sisters,105011053,87044645,17966408,2015.csv,2015,0.8289093625220576,0.17109063747794245
381,Scary Stories to Tell in the Dark,104545505,68947075,35598430,2019.csv,2019,0.6594934425922951,0.3405065574077049
382,Book Club,104438188,68566296,35871892,2018.csv,2018,0.6565251400187065,0.34347485998129346
383,The Tales of Wukong,103818506,0,103818506,2017.csv,2017,0.0,1.0
384,Cold War II,103197501,560824,102636677,2016.csv,2016,0.00543447268165922,0.9945655273183408
385,Night School,103105878,77339130,25766748,2018.csv,2018,0.75009428657404,0.24990571342596005
386,Jigsaw,102952888,38052832,64900056,2017.csv,2017,0.3696140316141496,0.6303859683858505
387,Chappie,102811889,31569268,71242621,2015.csv,2015,0.3070585348354022,0.6929414651645979
388,Railroad Tigers,102205175,218044,101987131,2016.csv,2016,0.002133394908819441,0.9978666050911805
389,Detective Conan: Zero the Enforcer,101860359,0,101860359,2018.csv,2018,0.0,1.0
390,Joy,101134059,56451232,44682827,2015.csv,2015,0.5581822044737669,0.4418177955262332
391,Life,100541806,30234022,70307784,2017.csv,2017,0.30071095003008,0.69928904996992
392,Atomic Blonde,100014025,51687870,48326155,2017.csv,2017,0.5168062179279356,0.48319378207206437
393,Black Mass,99775678,62575678,37200000,2015.csv,2015,0.6271636460340565,0.3728363539659435
394,Line Walker 2: Invisible Spy,99482027,296751,99185276,2019.csv,2019,0.002982960932229497,0.9970170390677705
395,Spotlight,98690254,45055776,53634478,2015.csv,2015,0.45653723821604514,0.5434627617839549
396,Devil and Angel,98599942,131058,98468884,2015.csv,2015,0.0013291894228497619,0.9986708105771502
397,The Visit,98450062,65206105,33243957,2015.csv,2015,0.6623267032579421,0.3376732967420579
398,Alpha,98203196,35857181,62346015,2018.csv,2018,0.36513252582940375,0.6348674741705962
399,Along With the Gods: The Last 49 Days,97962238,1200246,96761992,2018.csv,2018,0.012252129233715547,0.9877478707662845
400,A Simple Favor,97644617,53548586,44096031,2018.csv,2018,0.5484028474401206,0.4515971525598795
401,The Little Prince,97571250,1339152,96232098,2015.csv,2015,0.013724862600407395,0.9862751373995926
402,Legend of the Demon Cat,97051623,0,97051623,2017.csv,2017,0.0,1.0
403,The Shack,96942115,57386418,39555697,2017.csv,2017,0.5919658138261168,0.40803418617388326
404,Boonie Bears 5,96820519,0,96820519,2018.csv,2018,0.0,1.0
405,Assassination,96119773,1904682,94215091,2015.csv,2015,0.019815714712518098,0.9801842852874819
406,The Favourite,95918706,34366783,61551923,2018.csv,2018,0.35829072798375744,0.6417092720162426
407,Qing sheng,95721320,100026,95621294,2016.csv,2016,0.001044970963626494,0.9989550290363735
408,The New King of Comedy,95618308,0,95618308,2019.csv,2019,0.0,1.0
409,Poltergeist,95437994,47425125,48012869,2015.csv,2015,0.49692080703205055,0.5030791929679495
410,Truth or Dare,95330493,41411015,53919478,2018.csv,2018,0.43439421843753606,0.565605781562464
411,The Hustle,95017038,35417038,59600000,2019.csv,2019,0.3727440756467277,0.6272559243532723
412,Adoring,94975692,0,94975692,2019.csv,2019,0.0,1.0
413,Kill Mobile,94870905,0,94870905,2018.csv,2018,0.0,1.0
414,I Feel Pretty,94539426,48795601,45743825,2018.csv,2018,0.5161402291568811,0.48385977084311893
415,Veteran,94393020,1200627,93192393,2015.csv,2015,0.01271944684045494,0.9872805531595451
416,Dirty Grandpa,94073028,35593113,58479915,2016.csv,2016,0.378356195784407,0.6216438042155931
417,Ben-Hur,94061311,26410477,67650834,2016.csv,2016,0.2807793844166174,0.7192206155833827
418,Blockers,94017294,60311495,33705799,2018.csv,2018,0.6414936277574634,0.35850637224253656
419,In the Heart of the Sea,93920758,25020758,68900000,2015.csv,2015,0.26640285420183685,0.7335971457981632
420,Kill Zone 2,93638358,11998,93626360,2015.csv,2015,0.00012813125151126635,0.9998718687484888
421,BlacKkKlansman,93400823,49275340,44125483,2018.csv,2018,0.5275685847008008,0.47243141529919924
422,Goosebumps 2: Haunted Halloween,93320380,46700633,46619747,2018.csv,2018,0.5004333780038187,0.49956662199618135
423,Money Monster,93282604,41012075,52270529,2016.csv,2016,0.43965405382551287,0.5603459461744872
424,Train to Busan,92742323,2129768,90612555,2016.csv,2016,0.022964359001445327,0.9770356409985547
425,Southpaw,91970827,52421953,39548874,2015.csv,2015,0.5699845778270538,0.4300154221729462
426,Shadow,91708374,521396,91186978,2018.csv,2018,0.005685369582498541,0.9943146304175015
427,Crawl,91542097,39014193,52527904,2019.csv,2019,0.4261885436161682,0.5738114563838318
428,Five Feet Apart,91522094,45729221,45792873,2019.csv,2019,0.49965225883052894,0.500347741169471
429,Rambo: Last Blood,91490353,44819352,46671001,2019.csv,2019,0.4898806325514997,0.5101193674485003
430,Overboard,91244913,50316123,40928790,2018.csv,2018,0.551440308787406,0.448559691212594
431,My Big Fat Greek Wedding 2,90632641,59689605,30943036,2016.csv,2016,0.6585883887020351,0.34141161129796493
432,Sherlock Gnomes,90497778,43242871,47254907,2018.csv,2018,0.4778335110062039,0.522166488993796
433,Jojo Rabbit,90335025,33370906,56964119,2019.csv,2019,0.369412705647671,0.630587294352329
434,Detective Dee: The Four Heavenly Kings,90040771,262963,89777808,2018.csv,2018,0.0029204880975530517,0.9970795119024469
435,Collateral Beauty,88528280,31016021,57512259,2016.csv,2016,0.350351559976089,0.649648440023911
436,Line Walker,88228755,0,88228755,2016.csv,2016,0.0,1.0
437,Chasing the Dragon,87965942,456854,87509088,2017.csv,2017,0.005193532742478902,0.9948064672575211
438,Tiger Zinda Hai,87320000,5560921,81759079,2017.csv,2017,0.06368439074667888,0.9363156092533211
439,Sultan,87280000,6200000,81080000,2016.csv,2016,0.07103574702108158,0.9289642529789184
440,Hello Mrs. Money,86874070,0,86874070,2018.csv,2018,0.0,1.0
441,Robin Hood,86489031,30824628,55664403,2018.csv,2018,0.35639927564918605,0.643600724350814
442,A Taxi Driver,86252940,1527829,84725111,2017.csv,2017,0.01771335562590678,0.9822866443740932
443,War Dogs,86234523,43034523,43200000,2016.csv,2016,0.4990405408747956,0.5009594591252045
444,I Can Only Imagine,86086881,83482352,2604529,2018.csv,2018,0.9697453436604353,0.030254656339564676
445,The Second Best Exotic Marigold Hotel,85978266,33078266,52900000,2015.csv,2015,0.38472822887588826,0.6152717711241118
446,Paper Towns,85512300,32000304,53511996,2015.csv,2015,0.37421872642882953,0.6257812735711704
447,Big Fish & Begonia,85409373,0,85409373,2016.csv,2016,0.0,1.0
448,Nerve,85251425,38583626,46667799,2016.csv,2016,0.4525862881470896,0.5474137118529103
449,Hidden Man,85170581,0,85170581,2018.csv,2018,0.0,1.0
450,Going in Style,84918541,45018541,39900000,2017.csv,2017,0.5301379471416025,0.46986205285839755
451,Sicario,84872444,46889293,37983151,2015.csv,2015,0.5524678068655593,0.44753219313444065
452,Leap!,84197417,2844490,81352927,2016.csv,2016,0.0337835779451524,0.9662164220548476
453,Our Times,83867493,0,83867493,2015.csv,2015,0.0,1.0
454,Mortal Engines,83672673,15951040,67721633,2018.csv,2018,0.19063619492591088,0.8093638050740891
455,Rings,83080890,27793018,55287872,2017.csv,2017,0.33452961324800445,0.6654703867519955
456,Suck Me Shakespeer 2,83027924,0,83027924,2015.csv,2015,0.0,1.0
457,Once Upon A Time,82886178,485728,82400450,2017.csv,2017,0.005860180933906736,0.9941398190660933
458,Hitman: Agent 47,82347656,22467450,59880206,2015.csv,2015,0.2728365455842483,0.7271634544157517
459,Ouija: Origin of Evil,81705746,35144505,46561241,2016.csv,2016,0.43013504827432825,0.5698649517256718
460,One Piece: Stampede,81562741,1298528,80264213,2019.csv,2019,0.01592060276640286,0.9840793972335972
461,Wolf Warrior,81411331,0,81411331,2015.csv,2015,0.0,1.0
462,Partment: The Movie,81096321,0,81096321,2018.csv,2018,0.0,1.0
463,Underworld: Blood Wars,81093313,30353973,50739340,2016.csv,2016,0.37430919858953104,0.625690801410469
464,Doraemon the Movie: Nobita's Treasure Island,80920916,0,80920916,2018.csv,2018,0.0,1.0
465,A Dog's Way Home,80708134,42004346,38703788,2019.csv,2019,0.5204474929379485,0.4795525070620515
466,Go Away Mr. Tumor,80606893,286639,80320254,2015.csv,2015,0.0035560110225312867,0.9964439889774687
467,Caught in Time,80543319,0,80543319,2020.csv,2020,0.0,1.0
468,Den of Thieves,80509622,44947622,35562000,2018.csv,2018,0.5582888216764947,0.44171117832350526
469,Hereditary,80200936,44069456,36131480,2018.csv,2018,0.5494880508626483,0.4505119491373517
470,The Wedding Ringer,79799880,64460211,15339669,2015.csv,2015,0.8077732823658381,0.19222671763416185
471,Paradox,79226860,0,79226860,2017.csv,2017,0.0,1.0
472,Manchester by the Sea,78988148,47695371,31292777,2016.csv,2016,0.603829463124012,0.396170536875988
473,Lady Bird,78965611,48958273,30007338,2017.csv,2017,0.6199948608008617,0.3800051391991382
474,Paranormal Activity: The Ghost Dimension,78903124,18300124,60603000,2015.csv,2015,0.2319315519116835,0.7680684480883165
475,The Boss,78844582,63285885,15558697,2016.csv,2016,0.8026662504216207,0.1973337495783794
476,Code Blue the Movie,78778562,0,78778562,2018.csv,2018,0.0,1.0
477,Tag,78130625,54730625,23400000,2018.csv,2018,0.7005015638874001,0.2994984361125999
478,The Left Ear,78015473,0,78015473,2015.csv,2015,0.0,1.0
479,Shin Godzilla,77947607,1918403,76029204,2016.csv,2016,0.024611441888139043,0.975388558111861
480,Tiny Times 4.0,77750000,0,77750000,2015.csv,2015,0.0,1.0
481,Fantastica: A Boonie Bears Adventure,77151096,0,77151096,2017.csv,2017,0.0,1.0
482,Mike and Dave Need Wedding Dates,77068246,46009673,31058573,2016.csv,2016,0.596999093504736,0.40300090649526393
483,Sanju,76693052,7909317,68783735,2018.csv,2018,0.10312951165380665,0.8968704883461933
484,Cold Pursuit,76419755,32138862,44280893,2019.csv,2019,0.42055698817668286,0.5794430118233171
485,Kubo and the Two Strings,76249438,48023088,28226350,2016.csv,2016,0.6298156322148892,0.37018436778511077
486,Vice,76073488,47836282,28237206,2018.csv,2018,0.6288167304751426,0.3711832695248573
487,Widows,75984700,42402632,33582068,2018.csv,2018,0.5580417110286676,0.4419582889713324
488,Quo vado?,75878701,0,75878701,2016.csv,2016,0.0,1.0
489,Sicario: Day of the Soldado,75837743,50072235,25765508,2018.csv,2018,0.6602548153364743,0.33974518466352566
490,A Dog's Journey,75741734,22782371,52959363,2019.csv,2019,0.30079019579879174,0.6992098042012083
491,Bajrangi Bhaijaan,75547184,8178001,67369183,2015.csv,2015,0.10825024265629808,0.8917497573437019
492,Searching,75462037,26020957,49441080,2018.csv,2018,0.3448218208050758,0.6551781791949242
493,The Spy Who Dumped Me,75320680,33562069,41758611,2018.csv,2018,0.4455890334500432,0.5544109665499568
494,Animal World,74922830,0,74922830,2018.csv,2018,0.0,1.0
495,Boo! A Madea Halloween,74827344,73206343,1621001,2016.csv,2016,0.9783367828744529,0.021663217125547047
496,A Madea Family Funeral,74747725,73257045,1490680,2019.csv,2019,0.9800571856869222,0.019942814313077754
497,Miracles from Heaven,73983003,61705123,12277880,2016.csv,2016,0.8340445845378837,0.16595541546211634
498,Cats,73833459,27166770,46666689,2019.csv,2019,0.3679465972195614,0.6320534027804386
499,Charlie's Angels,73279888,17803077,55476811,2019.csv,2019,0.24294629107511737,0.7570537089248827
500,War Room,73267874,67790117,5477757,2015.csv,2015,0.9252365777666758,0.07476342223332426
501,The Transporter Refueled,72629670,16029670,56600000,2015.csv,2015,0.22070415575342694,0.779295844246573
502,Amazing China,72506343,0,72506343,2018.csv,2018,0.0,1.0
503,Doctor Sleep,72381712,31581712,40800000,2019.csv,2019,0.4363217051290525,0.5636782948709476
504,Serial (Bad) Weddings 2,72300780,0,72300780,2019.csv,2019,0.0,1.0
505,Second Act,72282227,39282227,33000000,2018.csv,2018,0.5434562357908536,0.45654376420914644
506,What Men Want,72216294,54611903,17604391,2019.csv,2019,0.7562268841987377,0.24377311580126224
507,Run All Night,71561644,26461644,45100000,2015.csv,2015,0.3697741208963841,0.6302258791036159
508,I Am Not Madame Bovary,70826207,436798,70389409,2016.csv,2016,0.006167180461887504,0.9938328195381125
509,Spirited Away 2018 Re-release,70186029,1175067,69010962,2018.csv,2018,0.016742178133485795,0.9832578218665142
510,Bai du ren,70065569,0,70065569,2016.csv,2016,0.0,1.0
511,After,69756455,12138565,57617890,2019.csv,2019,0.1740135016895569,0.8259864983104431
512,Exit,69501772,470699,69031073,2019.csv,2019,0.006772474808268198,0.9932275251917319
513,Playing with Fire,69412425,44451847,24960578,2019.csv,2019,0.6404018732957392,0.3595981267042608
514,13 Hours,69411370,52853219,16558151,2015.csv,2015,0.7614490104431018,0.23855098955689824
515,Running Man,68782475,310978,68471497,2015.csv,2015,0.004521180722269735,0.9954788192777303
516,The Nut Job 2: Nutty by Nature,68743485,28370522,40372963,2017.csv,2017,0.41270124725273966,0.5872987527472603
517,The Yin-Yang Master: Dream of Eternity,68000000,0,68000000,2020.csv,2020,0.0,1.0
518,Shoplifters,67999335,3313513,64685822,2018.csv,2018,0.04872860889007223,0.9512713911099278
519,A Beautiful Day in the Neighborhood,67760877,61704055,6056822,2019.csv,2019,0.9106147637374882,0.08938523626251177
520,12 Strong,67450815,45819713,21631102,2018.csv,2018,0.6793055502739292,0.32069444972607075
521,American Assassin,67234188,36249674,30984514,2017.csv,2017,0.5391553773208356,0.4608446226791644
522,War,67179155,4654000,62525155,2019.csv,2019,0.06927744178979328,0.9307225582102068
523,Mulan,66800000,0,66800000,2020.csv,2020,0.0,1.0
524,A Violent Prosecutor,66736633,0,66736633,2015.csv,2015,0.0,1.0
525,Victoria & Abdul,66558465,22245070,44313395,2017.csv,2017,0.33421849497280326,0.6657815050271968
526,Love Simon,66316289,40826341,25489948,2018.csv,2018,0.615630663531248,0.38436933646875204
527,Mile 22,66308758,36108758,30200000,2018.csv,2018,0.5445548836851989,0.4554451163148011
528,One Piece Film: Gold,66207073,423593,65783480,2016.csv,2016,0.00639800221949096,0.9936019977805091
529,Life of the Party,65859911,53059911,12800000,2018.csv,2018,0.8056480823364611,0.1943519176635389
530,The Age of Adaline,65663276,42629776,23033500,2015.csv,2015,0.6492179281460158,0.35078207185398425
531,Eiga Doraemon: Nobita no getsumen tansaki,65406606,0,65406606,2019.csv,2019,0.0,1.0
532,Moonlight,65336603,27854932,37481671,2016.csv,2016,0.42632966394044086,0.5736703360595592
533,Stand by Me Doraemon 2,65066630,0,65066630,2020.csv,2020,0.0,1.0
534,Happy Death Day 2U,64600152,28148130,36452022,2019.csv,2019,0.43572854131984085,0.5642714586801592
535,L Storm,64517456,0,64517456,2018.csv,2018,0.0,1.0
536,Monster Trucks,64493915,33370166,31123749,2016.csv,2016,0.5174157282900255,0.4825842717099745
537,Monk Comes Down the Mountain,64455686,0,64455686,2015.csv,2015,0.0,1.0
538,Capernaum,64417003,1661096,62755907,2018.csv,2018,0.025786607923997954,0.974213392076002
539,Fences,64414761,57682904,6731857,2016.csv,2016,0.8954920130806664,0.10450798691933359
540,Zhongkui: Snow Girl and the Dark Crystal,64325947,165428,64160519,2015.csv,2015,0.002571714956641058,0.9974282850433589
541,Isle of Dogs,64241499,32015231,32226268,2018.csv,2018,0.49835747139088393,0.5016425286091161
542,Suck Me Shakespeer 3,64236772,0,64236772,2017.csv,2017,0.0,1.0
543,The Danish Girl,64191523,11114018,53077505,2015.csv,2015,0.1731384064528271,0.8268615935471729
544,The Boy,64188367,35819556,28368811,2015.csv,2015,0.5580381255064488,0.4419618744935511
545,Hail Caesar!,63647656,30498085,33149571,2016.csv,2016,0.4791705919225054,0.5208294080774947
546,The Rescue,63426575,18797,63407778,2020.csv,2020,0.0002963584270473378,0.9997036415729527
547,The Hundred Regiments Offensive,63230000,0,63230000,2015.csv,2015,0.0,1.0
548,Detective Conan: Crimson Love Letter,63144805,0,63144805,2017.csv,2017,0.0,1.0
549,The Longest Ride,62944815,37446117,25498698,2015.csv,2015,0.5949039170263667,0.4050960829736333
550,Unfriended,62882090,32482090,30400000,2015.csv,2015,0.5165555088897331,0.4834444911102668
551,The Mountain Between Us,62832209,30348555,32483654,2017.csv,2017,0.48300951825519933,0.5169904817448007
552,The Star,62812974,40852824,21960150,2017.csv,2017,0.65038830990553,0.34961169009446996
553,The Nice Guys,62788218,36261763,26526455,2016.csv,2016,0.5775249585837904,0.4224750414162097
554,How to Be a Latin Lover,62547032,32149404,30397628,2017.csv,2017,0.5140036700702281,0.4859963299297719
555,Andhadhun,62475342,1193046,61282296,2018.csv,2018,0.019096270013215774,0.9809037299867842
556,47 Meters Down,62187529,44307191,17880338,2017.csv,2017,0.7124771109654477,0.28752288903455225
557,Brooklyn,62076141,38322743,23753398,2015.csv,2015,0.6173506017392415,0.3826493982607585
558,"Dragon Ball Z: Resurrection ""F""",61768190,8008363,53759827,2015.csv,2015,0.1296518968744268,0.8703481031255732
559,White Snake,61631776,34730,61597046,2019.csv,2019,0.000563508018980339,0.9994364919810197
560,Everything Everything,61621140,34121140,27500000,2017.csv,2017,0.5537245821807256,0.4462754178192744
561,Woman in Gold,61619773,33307793,28311980,2015.csv,2015,0.540537418078447,0.459462581921553
562,Krampus,61548707,42725475,18823232,2015.csv,2015,0.694173396688902,0.305826603311098
563,Bombshell,61404394,31762808,29641586,2019.csv,2019,0.5172725587032094,0.48272744129679057
564,Ashfall,61354854,372562,60982292,2019.csv,2019,0.006072249801132279,0.9939277501988677
565,Doraemon: Great Adventure in the Antarctic Kachi Kochi,61153455,0,61153455,2017.csv,2017,0.0,1.0
566,Ma,61105672,45896028,15209644,2019.csv,2019,0.7510927627144007,0.24890723728559927
567,Snatched,60845711,45852178,14993533,2017.csv,2017,0.7535811028652455,0.24641889713475448
568,Love You Forever,60670799,0,60670799,2020.csv,2020,0.0,1.0
